goldID	organismName	ncbiBioprojectID	ncbiTaxID	Ecosystem	EcosystemCategory	EcosystemType
Gb0000126	Thermosipho melanesiensis BI429	PRJNA17249	391009	Host-associated	Mollusca	Unclassified
Gb0000127	Flavobacterium psychrophilum JIP02/86	PRJNA19979	402612	Host-associated	Fish	Excretory system
Gb0000128	Haemophilus influenzae NTHi PittGG	PRJNA16401	374931	Host-associated	Human	Skin
Gb0000129	Haemophilus influenzae NTHi PittEE	PRJNA16400	374930	Host-associated	Human	Skin
Gb0000130	Corynebacterium kroppenstedtii DSM 44385	PRJNA15642	336982	Host-associated	Human	Respiratory system
Gb0000131	Mycobacterium tuberculosis H37Ra	PRJNA18883	419947	Host-associated	Human	Respiratory system
Gb0000132	Psychrobacter sp. PRwf-1	PRJNA15759	349106	Host-associated	Fish	Skin
Gb0000135	Lactobacillus reuteri F275, JCM 1112	PRJNA15766	299033	Host-associated	Human	Digestive system
Gb0000138	Brucella ovis ATCC 25840	PRJNA12514	444178	Host-associated	Mammals	Unclassified
Gb0000139	Mycoplasma agalactiae PG2	PRJNA16095	347257	Host-associated	Mammals	Unclassified
Gb0000141	Legionella pneumophila Corby	PRJNA17491	400673	Host-associated	Human	Unclassified
Gb0000144	Staphylococcus aureus aureus JH9	PRJNA15757	359786	Host-associated	Human	Unclassified
Gb0000145	Clavibacter michiganensis michiganensis NCPPB 382	PRJNA19643	443906	Host-associated	Plants	Unclassified
Gb0000147	Bradyrhizobium sp. BTAi1	PRJNA16137	288000	Host-associated	Plants	Unclassified
Gb0000154	Vibrio cholerae O395	PRJNA15667	345073	Host-associated	Human	Unclassified
Gb0000156	Candidatus Vesicomyosocius okutanii HA	PRJNA18267	412965	Host-associated	Mollusca	Unclassified
Gb0000157	Orientia tsutsugamushi Boryong	PRJNA16180	357244	Host-associated	Human	Unclassified
Gb0000159	Bradyrhizobium sp. ORS278	PRJNA19575	114615	Host-associated	Plants	Unclassified
Gb0000162	Leishmania infantum JPCM5 (MCAN/ES/98/LLM-877)	PRJNA12658	435258	Host-associated	Mammals	Unclassified
Gb0000164	Streptococcus suis 98HAH33	PRJNA17155	391296	Host-associated	Human	Unclassified
Gb0000165	Streptococcus suis 05ZYH33	PRJNA17153	391295	Host-associated	Human	Unclassified
Gb0000168	Succinivibrionaceae bacterium WG-1	PRJNA48013	758828	Host-associated	Mammals	Digestive system
Gb0000170	Shewanella baltica OS195	PRJNA17461	399742	Environmental	Aquatic	Marine
Gb0000171	Pseudomonas stutzeri A1501	PRJNA16817	379731	Host-associated	Plants	Rhizoplane
Gb0000174	Yersinia pestis Pestoides F	PRJNA16700	386656	Host-associated	NA	NA
Gb0000176	Aeromonas salmonicida salmonicida A449	PRJNA16723	382245	Host-associated	Fish	Unclassified
Gb0000183	Francisella tularensis tularensis A.II, Wyoming, WY96-3418	PRJNA18459	418136	Host-associated	Human	Unclassified
Gb0000184	Bacteroides sp. D1	PRJNA32447	556258	Host-associated	Human	Digestive system
Gb0000191	Acinetobacter baumannii ATCC 17978	PRJNA17477	400667	Host-associated	Human	Unclassified
Gb0000193	Burkholderia pseudomallei 1106a	PRJNA16182	357348	Host-associated	NA	NA
Gb0000194	Burkholderia pseudomallei 668	PRJNA13953	320373	Host-associated	NA	NA
Gb0000195	Burkholderia mallei NCTC 10247	PRJNA13946	320389	Host-associated	Human	Unclassified
Gb0000204	Candida albicans SC5314	PRJNA13942	388919	Host-associated	NA	NA
Gb0000208	Lachancea waltii NCYC 2644	PRJNA13943	412022	Host-associated	Plants	Unclassified
Gb0000210	Herpetosiphon aurantiacus DSM 785	PRJNA16249	360095	Environmental	Aquatic	Freshwater
Gb0000218	Aspergillus nidulans FGSC A4	PRJNA130	227321	Host-associated	NA	NA
Gb0000219	Escherichia coli O1:K1:H7 (APEC)	PRJNA16718	405955	Host-associated	Birds	Unclassified
Gb0000222	Campylobacter jejuni jejuni 81-176	PRJNA16135	354242	Host-associated	Human	Digestive system
Gb0000223	Verminephrobacter eiseniae EF01-2	PRJNA17187	391735	Host-associated	Animal	Unclassified
Gb0000224	Mycobacterium bovis BCG Pasteur 1173P2	PRJNA18059	410289	Host-associated	NA	NA
Gb0000225	Burkholderia mallei SAVP1	PRJNA13947	320388	Host-associated	NA	NA
Gb0000226	Neisseria meningitidis FAM18	PRJNA255	272831	Host-associated	Human	Unclassified
Gb0000227	Bacteroides sp. D2	PRJNA32449	556259	Host-associated	Human	Digestive system
Gb0000228	Lactobacillus amylovorus DSM 16698	PRJNA42081	695563	Host-associated	Mammals	Digestive system
Gb0000235	Yersinia enterocolitica enterocolitica 8081	PRJNA190	393305	Host-associated	Human	Unclassified
Gb0000246	Bifidobacterium adolescentis ATCC 15703	PRJNA16321	367928	Host-associated	Human	Digestive system
Gb0000247	Mycobacterium ulcerans Agy99	PRJNA16230	362242	Host-associated	Human	Unclassified
Gb0000250	Caldivirga maquilingensis IC-167	PRJNA47285	754027	Environmental	Aquatic	Thermal springs
Gb0000252	Campylobacter fetus fetus 82-40	PRJNA16293	360106	Host-associated	Human	Circulatory system
Gb0000253	Francisella tularensis novicida U112	PRJNA16088	401614	Host-associated	NA	NA
Gb0000256	Mycobacterium avium 104	PRJNA88	243243	Host-associated	Human	Unclassified
Gb0000263	Bacteroides dorei 5_1_36/D4	PRJNA32451	357276	Host-associated	Human	Digestive system
Gb0000264	Streptococcus pyogenes Manfredo (M5)	PRJNA270	160491	Host-associated	Human	Unclassified
Gb0000265	Azoarcus sp. BH72	PRJNA13217	62928	Host-associated	Plants	Rhizoplane
Gb0000266	Selenomonas artemidis F0399	PRJNA47277	749551	Host-associated	Human	Unclassified
Gb0000272	Roseobacter denitrificans OCh 114	PRJNA16426	375451	Host-associated	Plants	Unclassified
Gb0000275	Mycobacterium tuberculosis R1207	PRJNA46669	747369	Host-associated	Unclassified	Unclassified
Gb0000277	Lactobacillus gasseri ATCC 33323	PRJNA84	324831	Host-associated	Human	Unclassified
Gb0000281	Buchnera aphidicola Cc	PRJNA16372	372461	Host-associated	NA	NA
Gb0000283	Pediococcus pentosaceus ATCC 25745	PRJNA398	278197	Host-associated	Plants	Unclassified
Gb0000285	Streptococcus pneumoniae D39	PRJNA16374	373153	Host-associated	NA	NA
Gb0000290	Babesia bovis T2Bo	PRJNA16146	355276	NA	NA	NA
Gb0000291	Pseudomonas aeruginosa UCBPP-PA14	PRJNA386	208963	Host-associated	Human	Unclassified
Gb0000292	Propionibacterium acnes HL087PA2	PRJNA49197	765082	Host-associated	Human	Unclassified
Gb0000294	Burkholderia cepacia AMMD	PRJNA13490	339670	Host-associated	Plants	Unclassified
Gb0000295	Francisella tularensis holarctica OSU18	PRJNA17265	393011	Host-associated	Mammals	Unclassified
Gb0000296	Rikenella microfusus Q-1, DSM 15922	PRJNA51795	880526	Host-associated	Birds	Digestive system
Gb0000300	Methanosphaerula palustris E1-9c, DSM 19958	PRJNA41953	585544	Environmental	Aquatic	Freshwater
Gb0000303	Acaryochloris marina MBIC11017	PRJNA17111	391165	Host-associated	Animal	Unclassified
Gb0000306	Chlamydomonas reinhardtii CC-503 cw92 mt+	PRJNA78	272563	Engineered	Lab synthesis	Unclassified
Gb0000308	Rickettsia massiliae MTU5	PRJNA13443	386043	Host-associated	Insecta	Unclassified
Gb0000313	Histophilus somni 129P	PRJNA322	205914	Host-associated	NA	NA
Gb0000315	Frankia alni ACN14a	PRJNA17403	326424	Host-associated	Plants	Unclassified
Gb0000317	Borrelia burgdorferi CA8	PRJNA46689	747491	Host-associated	Mammals	Unclassified
Gb0000318	Shigella flexneri 5 8401	PRJNA16375	373384	Host-associated	NA	NA
Gb0000320	Wickerhamomyces anomalus NRRL Y-366-8	PRJNA17057	390236	NA	NA	NA
Gb0000322	Clostridium perfringens ATCC 13124	PRJNA304	195103	Host-associated	Mammals	Unclassified
Gb0000324	Bordetella avium 197N	PRJNA27	360910	Host-associated	Birds	Unclassified
Gb0000325	Streptococcus agalactiae FSL S3-026	PRJNA46683	747490	Host-associated	Mammals	Milk
Gb0000326	Escherichia coli O6:K15:H31 536 (UPEC)	PRJNA16235	362663	Host-associated	Human	Unclassified
Gb0000327	Francisella tularensis tularensis FSC 198	PRJNA17375	393115	Host-associated	Arthropoda	Unclassified
Gb0000331	Helicobacter acinonychis Sheeba	PRJNA17251	382638	Host-associated	Mammals	Unclassified
Gb0000341	Helicobacter pylori HPAG1	PRJNA16183	357544	Host-associated	Human	Unclassified
Gb0000342	Burkholderia cenocepacia AU 1054	PRJNA13919	331271	Host-associated	Human	Circulatory system
Gb0000345	Ruegeria sp. TM1040	PRJNA13040	292414	Host-associated	Animal	Unclassified
Gb0000346	Rhizobium leguminosarum bv. viciae 3841	PRJNA344	216596	Host-associated	NA	NA
Gb0000349	Lawsonia intracellularis PHE/MN1-00	PRJNA183	363253	Host-associated	Mammals	Digestive system
Gb0000352	Streptococcus pyogenes M12, MGAS9429	PRJNA16363	370551	Host-associated	Animal	Respiratory system
Gb0000353	Streptococcus pyogenes M2, MGAS10270	PRJNA16364	370552	Host-associated	Human	Respiratory system
Gb0000354	Streptococcus pyogenes M12, MGAS2096	PRJNA16365	370553	Host-associated	Human	Unclassified
Gb0000355	Streptococcus pyogenes M4, MGAS10750	PRJNA16366	370554	Host-associated	Human	Respiratory system
Gb0000356	Baumannia cicadellinicola Hc	PRJNA12513	374463	Host-associated	Plants	Unclassified
Gb0000358	Nocardiopsis sp. T26	PRJNA46681	747370	Host-associated	NA	NA
Gb0000366	Escherichia coli MS 45-1	PRJNA47207	749528	Host-associated	Human	Unclassified
Gb0000369	Odoribacter splanchnicus 1651/6, DSM 20712	PRJNA43469	709991	Host-associated	Human	Skin
Gb0000370	Shewanella pealeana ANG-SQ1, ATCC 700345	PRJNA16259	364106	Host-associated	Mollusca	Unclassified
Gb0000371	Rickettsia bellii RML369-C	PRJNA13996	336407	Host-associated	Birds	Unclassified
Gb0000372	Lactobacillus salivarius salivarius UCC118	PRJNA13280	362948	Host-associated	Human	Digestive system
Gb0000378	Chlamydophila felis Fe/C-56	PRJNA370	264202	Host-associated	Mammals	Unclassified
Gb0000379	Francisella tularensis holarctica LVS	PRJNA16421	376619	Host-associated	Unclassified	Unclassified
Gb0000383	Neorickettsia sennetsu Miyayama	PRJNA357	222891	Host-associated	Human	Unclassified
Gb0000384	Anaplasma phagocytophilum HZ	PRJNA336	212042	Host-associated	Human	Unclassified
Gb0000385	Ehrlichia chaffeensis Arkansas	PRJNA325	205920	Host-associated	Human	Unclassified
Gb0000386	Staphylococcus aureus aureus NCTC 8325	PRJNA237	93061	Host-associated	Human	Unclassified
Gb0000388	Staphylococcus aureus aureus USA300	PRJNA16313	367830	Host-associated	NA	NA
Gb0000390	Rickettsia bellii OSU 85-389	PRJNA49191	765079	Host-associated	Arthropoda	Unclassified
Gb0000392	Frankia sp. CcI3	PRJNA13963	106370	Host-associated	Plants	Rhizoplane
Gb0000395	Rhizobium etli CFN 42, DSM 11541	PRJNA13932	347834	Host-associated	Plants	Unclassified
Gb0000401	Dinoroseobacter shibae DFL-12, DSM 16493	PRJNA16309	343509	Host-associated	Unclassified	Unclassified
Gb0000402	Frankia sp. EAN1pec	PRJNA13478	322098	Host-associated	Plants	Unclassified
Gb0000403	Arcobacter butzleri RM4018	PRJNA16297	342109	Host-associated	Human	Unclassified
Gb0000405	Homo sapiens JC Venter	PRJNA48121	760011	Host-associated	NA	NA
Gb0000406	Gibberella zeae PH-1	PRJNA15579	339860	Host-associated	Plants	Unclassified
Gb0000411	Mycoplasma capricolum capricolum ATCC 27343	PRJNA16208	340047	Host-associated	Mammals	Unclassified
Gb0000413	Staphylococcus aureus RF122	PRJNA63	273036	Host-associated	Mammals	Unclassified
Gb0000417	Shigella dysenteriae Sd197	PRJNA13145	300267	Host-associated	Human	Unclassified
Gb0000418	Shigella sonnei Ss046	PRJNA13151	300269	Host-associated	Human	Unclassified
Gb0000419	Shigella boydii Sb227	PRJNA13146	300268	Host-associated	Human	Unclassified
Gb0000420	Frankia sp. EAN1pec	PRJNA12416	264730	Host-associated	Plants	Unclassified
Gb0000421	Leishmania major Friedlin	PRJNA10724	347515	Host-associated	NA	NA
Gb0000434	Bacteroides sp. 2_1_56FAA	PRJNA40013	665938	Host-associated	Human	Digestive system
Gb0000441	Burkholderia pseudomallei 1710b	PRJNA13954	320372	Host-associated	NA	NA
Gb0000442	Streptococcus agalactiae A909, ATCC BAA-1138	PRJNA326	205921	Host-associated	Human	Unclassified
Gb0000444	Chlamydia trachomatis A/HAR-13	PRJNA13885	315277	Host-associated	Mammals	Unclassified
Gb0000449	Ehrlichia canis Jake	PRJNA10694	269484	Host-associated	Mammals	Unclassified
Gb0000453	Mycobacterium tuberculosis KZN V2475	PRJNA39765	663887	Host-associated	Unclassified	Unclassified
Gb0000454	Staphylococcus saprophyticus saprophyticus ATCC 15305	PRJNA15596	342451	Host-associated	Human	Excretory system
Gb0000458	Mycoplasma hyopneumoniae 7448	PRJNA10639	262722	Host-associated	Mammals	Unclassified
Gb0000460	Gibberella zeae PH-1	PRJNA13888	293653	Host-associated	Plants	Unclassified
Gb0000461	Streptococcus pyogenes M28, MGAS6180	PRJNA13887	319701	Host-associated	Human	Unclassified
Gb0000463	Mycoplasma synoviae 53	PRJNA10676	262723	Host-associated	Mammals	Unclassified
Gb0000464	Candidatus Blochmannia pennsylvanicus BPEN	PRJNA13875	291272	Host-associated	Insecta	Unclassified
Gb0000468	Aspergillus fumigatus Af293	PRJNA131	330879	Host-associated	NA	NA
Gb0000469	Trypanosoma cruzi CL Brener TC3	PRJNA11755	353153	Host-associated	NA	NA
Gb0000470	Brugia malayi NIAID/TRS	PRJNA11756	185431	NA	NA	NA
Gb0000472	Staphylococcus haemolyticus JCSC1435	PRJNA12508	279808	Host-associated	Human	Unclassified
Gb0000475	Vibrio cholerae NG288-36	PRJNA41833	693744	Host-associated	NA	NA
Gb0000476	Propionibacterium acnes HL110PA4	PRJNA49193	765080	Host-associated	Human	Unclassified
Gb0000477	Corynebacterium jeikeium K411	PRJNA13967	306537	Host-associated	Human	Unclassified
Gb0000479	Pseudomonas fluorescens Pf-5	PRJNA327	220664	Host-associated	Plants	Rhizoplane
Gb0000480	Campylobacter jejuni jejuni 81116	PRJNA11752	281310	Environmental	Aquatic	Unclassified
Gb0000483	Xanthomonas campestris pv campestris 8004	PRJNA15	314565	Host-associated	Plants	Unclassified
Gb0000484	Pseudomonas syringae pv. syringae B728a	PRJNA323	205918	Host-associated	Plants	Unclassified
Gb0000485	Brucella abortus bv 1, 9-941	PRJNA9619	262698	Host-associated	Mammals	Unclassified
Gb0000486	Chlamydophila abortus S26/3	PRJNA355	218497	Host-associated	Mammals	Unclassified
Gb0000487	Salmonella enterica enterica sv Choleraesuis SC-B67	PRJNA9618	321314	Host-associated	Human	Unclassified
Gb0000489	Bacteroides fragilis NCTC 9343	PRJNA46	272559	Host-associated	Human	Skin
Gb0000490	Prochlorococcus marinus MIT 9215	PRJNA142	294381	Environmental	Aquatic	Marine
Gb0000492	Neisseria gonorrhoeae FA 1090	PRJNA23	242231	Host-associated	Human	Unclassified
Gb0000496	Vibrio fischeri ES114	PRJNA12986	312309	Host-associated	Mollusca	Unclassified
Gb0000497	Xanthomonas oryzae pv. oryzae KACC10331	PRJNA12931	291331	Host-associated	Plants	Phylloplane
Gb0000498	Wolbachia endosymbiont TRS of Brugia malayi	PRJNA12475	292805	Host-associated	NA	NA
Gb0000499	Ehrlichia ruminantium Welgevonden, CIRAD	PRJNA13355	254945	Host-associated	Insecta	Unclassified
Gb0000500	Paenibacillus lautus Y412MC10	PRJNA13356	302409	Environmental	Aquatic	Thermal springs
Gb0000501	Thermotoga lettingae TMO	PRJNA82	272621	Engineered	Wastewater	Unclassified
Gb0000504	Serratia proteamaculans 568	PRJNA49161	765065	Host-associated	Plants	Rhizoplane
Gb0000505	Nitrosocaldus yellowstonii HL72	PRJNA64	176279	Environmental	Aquatic	Thermal springs
Gb0000508	Campylobacter concisus 13826	PRJNA13856	214684	Host-associated	Human	Digestive system
Gb0000511	Ehrlichia ruminantium Welgevonden, ARC-OVI	PRJNA9614	254945	Host-associated	Insecta	Unclassified
Gb0000512	Mycobacterium tuberculosis LAM7	PRJNA46629	746707	Host-associated	NA	NA
Gb0000515	Francisella tularensis tularensis CHU S4	PRJNA9	177416	Host-associated	Human	Unclassified
Gb0000517	Anaplasma marginale St. Maries	PRJNA40	234826	Host-associated	Mammals	Unclassified
Gb0000518	Salmonella enterica enterica sv Paratyphi A, ATCC 9150	PRJNA13086	295319	Host-associated	Human	Digestive system
Gb0000529	Cryptosporidium hominis TU502	PRJNA13200	353151	Host-associated	Human	Digestive system
Gb0000533	Legionella pneumophila Lens	PRJNA13126	297245	Host-associated	Human	Unclassified
Gb0000534	Legionella pneumophila Paris	PRJNA13127	297246	Host-associated	Human	Unclassified
Gb0000535	Nocardia farcinica IFM 10152	PRJNA13117	247156	Host-associated	Human	Respiratory system
Gb0000537	Bacteroides fragilis YCH46	PRJNA13067	295405	Host-associated	Human	Unclassified
Gb0000539	Bacillus licheniformis DSM 13 Goettingen	PRJNA13082	279010	Host-associated	NA	NA
Gb0000540	Serratia proteamaculans 568	PRJNA12953	293614	Host-associated	Plants	Rhizoplane
Gb0000541	Legionella pneumophila pneumophila Philadelphia-1	PRJNA22	272624	Host-associated	Human	Unclassified
Gb0000542	Mycobacterium tuberculosis KZN R506	PRJNA39767	663886	Host-associated	Unclassified	Unclassified
Gb0000543	Basfia succiniciproducens MBEL55E	PRJNA13068	221988	Host-associated	Mammals	Digestive system
Gb0000545	Burkholderia mallei ATCC 23344	PRJNA171	243160	Host-associated	Human	Unclassified
Gb0000546	Bacillus cereus E33L (ZK)	PRJNA12468	288681	Host-associated	Mammals	Unclassified
Gb0000547	Burkholderia pseudomallei K96243	PRJNA178	272560	Host-associated	Unclassified	Unclassified
Gb0000548	Bacillus licheniformis DSM 13 Novozymes	PRJNA12388	279010	Host-associated	NA	NA
Gb0000550	Nitrosocaldus yellowstonii HL72	PRJNA12554	290434	Environmental	Aquatic	Thermal springs
Gb0000554	Rickettsia typhi Wilmington	PRJNA10679	257363	Host-associated	Human	Circulatory system
Gb0000558	Streptococcus pyogenes M6, MGAS10394	PRJNA12469	286636	Host-associated	Human	Respiratory system
Gb0000559	Propionibacterium acnes KPA171202	PRJNA12460	267747	Host-associated	Human	Skin
Gb0000560	Shewanella sediminis HAW-EB3	PRJNA10650	265311	Environmental	Aquatic	Sediment
Gb0000561	Pectobacterium atrosepticum SCRI1043	PRJNA350	218491	Host-associated	Plants	Unclassified
Gb0000563	Candida glabrata CBS 138	PRJNA13831	284593	Host-associated	Human	Digestive system
Gb0000568	Bacillus thuringiensis sv konkukian 97-27	PRJNA10877	281309	Host-associated	Human	Unclassified
Gb0000569	Bacillus anthracis Sterne	PRJNA10878	260799	Host-associated	Unclassified	Unclassified
Gb0000570	Nematostella vectensis CH2 x CH6	PRJNA266	282459	NA	NA	NA
Gb0000571	Staphylococcus aureus aureus MRSA252	PRJNA265	282458	Host-associated	NA	NA
Gb0000572	Bartonella henselae Houston-1	PRJNA196	283166	Host-associated	Human	Circulatory system
Gb0000573	Bartonella quintana Toulouse	PRJNA44	283165	Host-associated	NA	NA
Gb0000575	Bacillus anthracis Ames Ancestor A2084	PRJNA10784	261594	Host-associated	NA	NA
Gb0000576	Mycoplasma mobile 163K	PRJNA10697	267748	Host-associated	Fish	Unclassified
Gb0000577	Phanerochaete chrysosporium RP-78	PRJNA135	273507	Host-associated	Plants	Unclassified
Gb0000579	Porphyromonas asaccharolytica VPI 4198, DSM 20707	PRJNA51745	879243	Host-associated	Unclassified	Unclassified
Gb0000580	Campylobacter concisus 13826	PRJNA10700	264201	Host-associated	Human	Digestive system
Gb0000585	Leptospira interrogans sv Copenhageni Fiocruz L1-130	PRJNA10687	267671	Host-associated	Human	Unclassified
Gb0000586	Cryptosporidium parvum Iowa II	PRJNA144	353152	Host-associated	NA	NA
Gb0000587	Yersinia pestis bv Microtus 91001	PRJNA10638	229193	Host-associated	NA	NA
Gb0000591	Treponema denticola ATCC 35405	PRJNA4	243275	Host-associated	Human	Digestive system
Gb0000594	Lactobacillus johnsonii NCC 533	PRJNA9638	257314	Host-associated	Human	Unclassified
Gb0000598	Mycobacterium avium paratuberculosis K-10	PRJNA91	262316	Host-associated	Mammals	Digestive system
Gb0000601	Escherichia coli O139:H28 E24377A (ETEC)	PRJNA9615	262768	Host-associated	NA	NA
Gb0000605	Vibrio harveyi BB120, ATCC BAA-1116	PRJNA87	257309	Environmental	Aquatic	Marine
Gb0000610	Escherichia coli O139:H28 E24377A (ETEC)	PRJNA9605	243265	Host-associated	NA	NA
Gb0000611	Vibrio cholerae 5052	PRJNA41837	693742	Host-associated	NA	NA
Gb0000612	Wolinella succinogenes DSM 1740	PRJNA445	273121	Host-associated	Mammals	Digestive system
Gb0000614	Porphyromonas gingivalis W83	PRJNA48	242619	Host-associated	Human	Unclassified
Gb0000618	Pseudomonas syringae pv. tomato DC3000	PRJNA359	223283	Host-associated	Plants	Unclassified
Gb0000627	Bordetella bronchiseptica RB50	PRJNA24	257310	Host-associated	Mammals	Unclassified
Gb0000628	Bordetella parapertussis 12822	PRJNA25	257311	Host-associated	Human	Unclassified
Gb0000629	Bordetella pertussis Tohama I	PRJNA26	257313	Host-associated	Human	Unclassified
Gb0000631	Tropheryma whipplei Twist	PRJNA95	203267	Host-associated	NA	NA
Gb0000632	Chlamydophila pneumoniae TW-183	PRJNA420	182082	Host-associated	Human	Skin
Gb0000633	Haemophilus ducreyi 35000HP	PRJNA38	233412	Host-associated	Human	Skin
Gb0000637	Helicobacter hepaticus 3B1, ATCC 51449	PRJNA185	235279	Host-associated	Mammals	Excretory system
Gb0000638	Mycobacterium bovis AF2122/97	PRJNA89	233413	Host-associated	Mammals	Unclassified
Gb0000639	Streptococcus pyogenes M3 (SSI-1)	PRJNA301	193567	Host-associated	Human	Unclassified
Gb0000641	Bacillus cereus ATCC 14579	PRJNA384	226900	Host-associated	NA	NA
Gb0000643	Coxiella burnetii Nine Mile phase I / RSA 493	PRJNA41	227377	Host-associated	NA	NA
Gb0000646	Shigella flexneri 2a 2457T	PRJNA408	198215	Host-associated	Human	Digestive system
Gb0000647	Chlamydophila caviae GPIC	PRJNA228	227941	Host-associated	Mammals	Unclassified
Gb0000649	Enterococcus faecalis V583	PRJNA70	226185	Host-associated	Human	Circulatory system
Gb0000650	Vibrio harveyi BB120, ATCC BAA-1116	PRJNA399	226186	Environmental	Aquatic	Marine
Gb0000651	Salmonella enterica enterica sv Typhi Ty2	PRJNA371	209261	Host-associated	NA	NA
Gb0000652	Vibrio parahaemolyticus RIMD 2210633	PRJNA360	223926	Host-associated	Unclassified	Unclassified
Gb0000653	Tropheryma whipplei TW08/27	PRJNA354	218496	Host-associated	Human	Nervous system
Gb0000654	Lactobacillus plantarum WCFS1	PRJNA356	220668	Host-associated	Human	Digestive system
Gb0000655	Rickettsia sibirica 246	PRJNA1414	272951	Host-associated	Insecta	Unclassified
Gb0000656	Clostridium tetani Massachusetts E88	PRJNA81	212717	Host-associated	NA	NA
Gb0000657	Xylella fastidiosa Temecula1	PRJNA285	183190	Host-associated	Plants	Unclassified
Gb0000658	Buchnera aphidicola Bp	PRJNA256	224915	Host-associated	Insecta	Unclassified
Gb0000659	Staphylococcus epidermidis ATCC 12228	PRJNA279	176280	Host-associated	Human	Unclassified
