acc	aaCostObserved	GC
NC_011899	24.067755	37.883194
NC_012225	24.413485	27.06274
NC_011060	23.58695	48.077587
NC_007712	23.132	54.698997
NC_007716	25.016218	26.886263
NC_017737	24.210512	34.53487
NC_011894	22.409952	68.85725
NC_017735	24.256424	35.558437
NC_010364	21.503456	68.01484
NC_011896	22.339298	57.797527
NC_017733	24.23942	39.055325
NC_017731	23.639252	41.265537
NC_011891	21.92795	74.71649
NC_012632	24.603754	35.009705
NC_017730	22.575375	52.16399
NC_012633	24.25883	32.39963
NC_008435	22.574575	64.442665
NC_012623	24.619892	35.293343
NC_003062	22.801247	59.37521
NC_017740	24.229662	38.863842
NC_007722	22.480347	63.06851
NC_008023	23.770967	38.729168
NC_010376	24.137955	32.312775
NC_011059	23.40059	50.09513
NC_008022	23.776714	38.429882
NC_008021	23.77017	38.538017
NC_017742	24.187542	39.018417
NC_008027	22.936302	64.15972
NC_015602	23.990358	37.6959
NC_012622	24.627264	35.38536
NC_017741	24.219015	38.77265
NC_008025	22.27241	66.636215
NC_015601	24.037216	36.55624
NC_015600	23.732773	37.37839
NC_017743	23.870403	43.926765
NC_008024	23.79362	38.315926
NC_008060	22.580652	66.93568
NC_004741	23.462969	50.90598
NC_008825	22.5228	69.197754
NC_002516	22.926197	66.55573
NC_016111	21.978745	72.93993
NC_016112	23.487211	48.745926
NC_008820	22.8751	50.007587
NC_012207	22.03607	65.64302
NC_011047	25.545973	21.393719
NC_008054	23.583998	49.719036
NC_016114	22.025692	71.14231
NC_011886	22.025425	66.279945
NC_004757	23.379698	50.71818
NC_012214	23.231085	53.42156
NC_010741	23.408485	52.782494
NC_010742	22.798616	57.158886
NC_008836	22.536306	68.154976
NC_002505	23.383263	47.695362
NC_007705	22.654833	63.70129
NC_017761	24.069632	38.632557
NC_017764	23.740744	40.287563
NC_017763	24.061758	32.83421
NC_008048	22.441698	65.50155
NC_016109	21.906801	74.1975
NC_017765	22.22874	71.892784
NC_011884	23.381365	50.788544
NC_017768	23.914854	37.052658
NC_008044	22.59775	60.412914
NC_011883	22.841326	58.072163
NC_017769	23.806417	39.737255
NC_011035	23.250702	52.36648
NC_012673	23.673277	48.462563
NC_010320	24.16157	34.518665
NC_010321	24.198751	34.512756
NC_010322	22.964117	61.942245
NC_016645	23.744328	56.966812
NC_014501	23.72306	40.222553
NC_014500	23.207592	56.296627
NC_016642	23.009768	52.373207
NC_017268	23.395693	52.784843
NC_016641	23.732254	46.77005
NC_008800	23.346212	47.271053
NC_017770	24.128754	37.30854
NC_017267	22.528316	64.05578
NC_017265	23.382387	47.588703
NC_017262	23.109924	46.22072
NC_007759	23.608665	51.46004
NC_017270	23.3213	48.13759
NC_007332	24.697845	28.488857
NC_013799	24.507404	44.000263
NC_007333	22.236645	67.50285
NC_013798	23.698666	37.636135
NC_007335	23.670637	35.12303
NC_014506	24.23281	35.235775
NC_014507	23.504066	47.399174
NC_013791	23.758078	40.267353
NC_013790	23.56613	32.640984
NC_012660	23.074053	60.504566
NC_010334	23.285936	44.590874
NC_007761	22.804157	61.27221
NC_017259	25.158272	24.135656
NC_007760	21.909008	74.90527
NC_017253	0.0	26.286394
NC_017254	24.996956	26.323647
NC_017255	24.95813	26.297485
NC_017256	24.97198	25.658232
NC_017251	22.850664	57.21405
NC_013260	23.076788	58.58164
NC_017252	24.957613	26.298052
NC_008816	24.108728	31.32154
NC_008818	23.456522	53.736732
NC_008817	24.230549	30.79418
NC_008819	23.69459	34.97931
NC_012668	23.359482	47.517036
NC_012669	21.78131	73.116585
NC_007347	22.635578	64.67518
NC_010338	22.398132	67.463295
NC_010337	23.106695	56.975193
NC_010336	24.259102	32.573326
NC_005861	24.356241	34.717545
NC_008011	24.011763	33.284485
NC_017285	23.852613	40.54987
NC_017790	22.048391	70.802025
NC_017289	23.837976	39.055122
NC_017287	23.860842	39.062294
NC_009428	22.459858	68.47752
NC_007354	24.077549	28.957743
NC_007355	23.721603	39.276035
NC_007356	23.442188	47.025875
NC_013771	24.167055	31.116783
NC_017292	23.818926	39.05511
NC_007350	23.974997	33.23986
NC_017291	23.82689	39.04722
NC_017290	23.843588	39.054054
NC_012658	24.351854	28.22009
NC_012659	24.197895	35.377155
NC_005835	23.091536	69.43728
NC_017279	24.47448	30.565887
NC_014532	22.70786	63.608463
NC_017271	22.47452	65.287476
NC_017272	23.117222	68.91629
NC_013282	23.274412	57.41751
NC_017274	24.609198	35.82515
NC_017275	24.606352	35.148228
NC_017276	24.596413	35.307762
NC_017277	23.353527	47.73038
NC_017278	23.062517	68.60595
NC_008009	23.114634	58.383846
NC_017281	24.447514	30.487806
NC_017280	24.462065	30.601034
NC_014539	22.57121	63.442444
NC_014537	24.11672	45.427708
NC_014538	24.161505	34.519077
NC_007797	23.400272	41.635933
NC_013757	21.644905	73.98411
NC_007798	23.842962	41.084347
NC_007799	24.190289	30.10071
NC_009440	23.946	46.22533
NC_016603	23.655928	38.824036
NC_016604	22.429184	65.49052
NC_009442	23.705605	41.109684
NC_016602	23.286955	50.7347
NC_009441	24.331676	34.112854
NC_007793	23.958519	32.75098
NC_007794	22.463469	65.15281
NC_009443	23.708004	41.11337
NC_009446	23.558104	44.395756
NC_007795	24.01352	32.868263
NC_013216	23.72521	41.554844
NC_009445	22.72652	65.51038
NC_007796	23.682392	45.149033
NC_016609	24.273754	44.869743
NC_016605	23.639248	36.82002
NC_006274	24.252672	35.3519
NC_009439	22.880224	64.67615
NC_006270	23.830338	46.194393
NC_009438	23.352364	44.451626
NC_017297	24.333136	28.303295
NC_013769	24.61915	35.25398
NC_013768	23.743025	37.964973
NC_009437	24.63792	35.254078
NC_009436	23.332998	52.98176
NC_017299	24.343964	28.208096
NC_017294	24.54415	28.107845
NC_017293	22.296566	58.831364
NC_017295	24.23283	30.92619
NC_016612	23.413881	56.048565
NC_013223	23.158493	57.540054
NC_016613	23.371582	45.032368
NC_013222	23.578316	55.293293
NC_009434	22.910042	63.8785
NC_016610	24.260836	46.975956
NC_016617	22.308817	68.606255
NC_016616	22.695904	65.36764
NC_004116	23.916086	35.64661
NC_007384	23.482792	51.009758
NC_004113	23.332108	53.91793
NC_013766	23.743376	37.95507
NC_013739	21.815144	72.73343
NC_007779	23.449827	50.79958
NC_015064	22.771328	60.51389
NC_012691	23.394434	49.02702
NC_015067	22.54438	60.32969
NC_015061	23.265184	52.347523
NC_007775	23.087315	60.23733
NC_007776	23.111595	58.45038
NC_007777	21.903107	70.07881
NC_007778	22.547419	66.038376
NC_016621	25.939095	23.846834
NC_013235	22.003315	70.91646
NC_009465	24.07586	31.594948
NC_016622	22.258966	67.605034
NC_016620	24.096958	36.747284
NC_012695	22.490723	67.70876
NC_009464	23.400106	54.60295
NC_016629	23.01294	61.420834
NC_016627	24.190758	35.71717
NC_005877	24.737288	35.970425
NC_013730	23.813797	50.19282
NC_004129	23.016136	63.30493
NC_015052	22.605003	60.06423
NC_016630	24.126818	35.445507
NC_009457	23.343615	47.78006
NC_016631	22.978754	57.909878
NC_012686	23.693335	41.2992
NC_016632	24.102068	29.226244
NC_009455	23.399015	47.172573
NC_012687	23.697977	41.30254
NC_009454	23.295326	52.961105
NC_016633	23.832808	46.197296
NC_016639	24.222422	32.50126
NC_016638	23.3772	35.33357
NC_013743	21.752832	65.83335
NC_013741	24.43746	42.008442
NC_013740	23.348198	55.842705
NC_002944	22.18982	69.29861
NC_002946	23.220892	52.689655
NC_002945	22.040594	65.63298
NC_002947	22.984049	61.524094
NC_014479	23.85294	43.890667
NC_002940	23.699692	38.220493
NC_002942	24.09981	38.269527
NC_014471	24.607779	35.686554
NC_014472	24.15555	36.977448
NC_003143	23.381134	47.63611
NC_002952	24.019844	32.807167
NC_002953	24.026073	32.850357
NC_002950	23.871876	48.28793
NC_002951	23.96569	32.817535
NC_015593	22.522263	63.857197
NC_006624	24.152493	51.995487
NC_015590	22.683924	62.666893
NC_002929	22.60426	67.72058
NC_003551	22.946917	61.15917
NC_003552	23.74373	42.68089
NC_002928	22.555517	68.09995
NC_002927	22.551077	68.07702
NC_014497	27.309675	13.538771
NC_014499	26.02307	21.132614
NC_014498	23.864338	39.593616
NC_014494	23.854822	39.51278
NC_011593	22.749662	59.863144
NC_011595	23.635319	39.043697
NC_002939	22.967846	60.937492
NC_002937	22.746471	63.14261
NC_002936	23.344378	48.850258
NC_013316	24.153767	28.807396
NC_002935	22.599468	53.478516
NC_014098	23.20741	59.11413
NC_002932	23.370377	56.529816
NC_017208	24.221518	35.375835
NC_003155	22.182198	70.71655
NC_013315	24.157228	28.56318
NC_017200	24.25892	35.539513
NC_014484	23.589394	61.877464
NC_014483	23.690096	45.790142
NC_004193	23.916555	35.68131
NC_018750	22.071602	72.480995
NC_005945	24.25602	35.379444
NC_014974	23.277697	64.88504
NC_017622	23.688276	41.247513
NC_014973	23.046999	61.17795
NC_017623	23.407316	52.190327
NC_014976	23.857475	43.84731
NC_017620	23.760874	40.98843
NC_014029	23.312819	47.67886
NC_017621	23.658535	41.32234
NC_014970	22.943327	38.851383
NC_017626	23.442732	50.562965
NC_014972	23.154732	58.927578
NC_017625	23.442099	50.809906
NC_011586	23.65503	39.20528
NC_017628	23.413177	50.699543
NC_017216	22.735283	60.48868
NC_017215	22.760975	60.485363
NC_017214	22.758274	60.481323
NC_017219	22.740908	59.86409
NC_017218	22.67502	58.72699
NC_017217	22.737215	60.48836
NC_014033	24.060207	47.685535
NC_014032	22.2413	66.117645
NC_014965	23.386442	46.668213
NC_014964	24.192856	34.50387
NC_014963	22.992155	57.335453
NC_014039	22.466003	60.103943
NC_014962	22.613018	62.44408
NC_014961	23.687107	53.14166
NC_018748	24.234539	35.69799
NC_014960	23.687572	53.849674
NC_014034	22.40724	66.56189
NC_017618	23.680328	41.220997
NC_017617	23.685997	41.442535
NC_017619	23.679047	41.235825
NC_017221	22.611122	59.807373
NC_017223	22.596682	67.73276
NC_017641	23.428186	50.722946
NC_014041	24.28631	36.218452
NC_011565	24.559473	32.657516
NC_011566	23.30334	43.29179
NC_017646	23.454872	50.557983
NC_017644	23.384706	51.166267
NC_014958	22.258307	69.82501
NC_011567	24.2502	41.776752
NC_017238	24.975283	28.30605
NC_017635	23.406239	50.84362
NC_017638	23.440315	50.82916
NC_017631	23.439453	50.583946
NC_017632	23.425026	50.585247
NC_017633	23.43569	50.75729
NC_017634	23.421804	50.68029
NC_017243	24.415506	27.21866
NC_003197	23.42629	52.2215
NC_017244	22.824644	57.151012
NC_003198	23.436699	52.09272
NC_014448	24.306316	25.883528
NC_017246	22.815454	57.15114
NC_017249	22.915588	63.665573
NC_017248	22.808754	57.162594
NC_010729	23.856817	48.359283
NC_011134	23.669132	41.839695
NC_015520	23.815695	43.451916
NC_010723	24.100325	27.36124
NC_014935	23.93781	53.91192
NC_012988	22.27687	68.08794
NC_014934	24.1274	33.76618
NC_014933	24.156958	44.717453
NC_010725	22.222273	69.39014
NC_014931	22.72171	66.47972
NC_012982	22.888844	45.23012
NC_018712	23.78323	39.486782
NC_017664	23.41819	50.847256
NC_014932	23.773806	35.726974
NC_012985	24.02197	36.46857
NC_012984	23.440804	44.660942
NC_017668	23.864492	41.823124
NC_002488	23.07317	52.67411
NC_011138	23.2644	44.885387
NC_009802	23.957947	39.42893
NC_017660	23.432535	50.784767
NC_009801	23.462706	50.621624
NC_009800	23.429548	50.819622
NC_017663	23.434649	50.888218
NC_015514	21.570843	74.72433
NC_011144	22.259724	71.346375
NC_011147	23.426477	52.183678
NC_015510	24.165232	47.13312
NC_011145	21.922977	74.84068
NC_011146	23.042574	60.26671
NC_018706	23.66775	39.02128
NC_014926	23.93863	52.11487
NC_018709	24.456736	30.579573
NC_014923	22.822924	62.689312
NC_014922	23.608414	38.22367
NC_012997	23.108479	50.89069
NC_014925	23.990032	37.533466
NC_014924	22.424294	70.21069
NC_017656	23.413704	50.464596
NC_014920	23.616158	38.224834
NC_014921	24.460636	26.859507
NC_010001	24.084188	35.348526
NC_015125	21.987328	70.278404
NC_010002	22.57341	66.47626
NC_018704	23.93481	35.71827
NC_010003	24.464817	34.12319
NC_010730	24.683117	32.027443
NC_011149	23.443153	52.084183
NC_015519	23.774311	37.53431
NC_017652	23.496	50.559322
NC_015518	24.577816	34.148136
NC_002491	23.835722	40.581493
NC_017651	23.496	50.55935
NC_003098	23.858334	39.715984
NC_015516	24.21236	31.42753
NC_004842	23.0345	49.762665
NC_014914	23.588728	37.418655
NC_011527	24.0861	42.63312
NC_011528	24.089994	42.673355
NC_011529	24.253067	51.2727
NC_012967	23.44959	50.769405
NC_012968	23.130936	45.51019
NC_012969	23.081867	54.860424
NC_014915	23.842897	52.42591
NC_014004	25.798187	22.493061
NC_014002	23.351137	42.618206
NC_015136	22.639513	63.689415
NC_012960	22.106138	58.3852
NC_014008	23.172792	53.601776
NC_014910	22.537561	68.27846
NC_015138	22.445938	68.821014
NC_012962	23.634565	42.152634
NC_014006	22.50478	64.75836
NC_009828	24.409365	38.697033
NC_014909	24.955967	27.50818
NC_011126	24.686436	34.847008
NC_004829	23.76991	31.469885
NC_010717	22.635662	63.63405
NC_010718	23.602297	36.322296
NC_014012	23.313189	44.716366
NC_014014	24.259733	26.95402
NC_012121	23.836302	34.632717
NC_015145	22.140165	65.584854
NC_018720	22.62917	60.0536
NC_018721	24.286747	34.52529
NC_012973	24.224941	39.15921
NC_018722	23.388302	52.796757
NC_012125	23.43216	52.16324
NC_012971	23.45092	50.83262
NC_014019	24.007671	38.256813
NC_017673	23.996141	32.94311
NC_017672	23.595743	58.238274
NC_017671	22.49855	66.7542
NC_015144	24.329046	35.921715
NC_014010	22.965073	48.853706
NC_014011	23.696907	45.306858
NC_012947	23.446428	50.84055
NC_006677	22.640247	61.07222
NC_015562	24.530054	32.29991
NC_012943	22.04631	65.61417
NC_015567	23.24879	55.961143
NC_003103	24.298002	32.43881
NC_015564	22.294207	62.244247
NC_015563	22.588465	66.71795
NC_015566	23.248732	55.961437
NC_003106	24.743872	32.786716
NC_015565	23.41961	46.625797
NC_015152	23.768528	48.874344
NC_015153	23.48971	31.077164
NC_015155	23.471617	31.076155
NC_009848	23.903656	41.286907
NC_005139	23.459661	46.411346
NC_015151	24.227098	42.387
NC_009840	24.181171	31.145048
NC_015559	23.360922	44.28514
NC_015558	23.73593	35.547817
NC_015556	22.797697	63.51168
NC_015555	24.129364	34.975838
NC_015554	23.275898	43.50679
NC_009839	24.466011	30.541515
NC_015164	24.170282	46.64874
NC_009832	23.255287	55.07359
NC_015161	22.098827	66.16266
NC_015160	24.304642	43.35854
NC_009831	23.32979	46.077877
NC_015167	24.052656	32.1109
NC_015580	22.566442	63.708115
NC_012925	23.657503	41.299515
NC_012924	23.679943	41.10682
NC_015581	22.994665	46.98024
NC_012926	23.687033	41.06477
NC_017803	22.158743	71.31723
NC_015588	21.68539	73.887726
NC_015589	23.54746	47.243042
NC_017808	24.974258	27.552185
NC_015172	23.593744	46.35019
NC_002967	24.265148	37.873756
NC_015174	23.047077	56.44864
NC_015177	24.212547	36.582584
NC_015573	23.357311	54.884453
NC_015572	23.38225	51.31005
NC_015571	23.855764	48.342644
NC_002973	23.744814	38.041233
NC_015577	23.581074	49.797585
NC_015576	22.01958	68.37222
NC_015574	23.754717	35.731762
NC_003116	23.228468	51.809143
NC_002971	24.098728	42.660507
NC_003112	23.208082	51.52784
NC_015578	23.473328	50.83753
NC_015183	22.793348	58.81226
NC_002976	24.021975	32.15136
NC_002977	22.971926	63.58459
NC_005126	23.665741	42.825356
NC_005125	22.860151	61.99786
NC_015185	24.51484	34.948586
NC_002978	24.003002	35.234844
NC_015186	22.42428	67.57918
NC_009850	24.408745	27.045158
NC_004663	24.39186	42.837177
NC_009778	23.302328	56.767082
NC_004668	23.763231	37.52739
NC_011959	22.90075	63.647102
NC_009776	23.729275	56.520348
NC_002678	22.855585	62.747066
NC_002677	22.341263	57.796745
NC_005791	23.931154	33.100338
NC_007005	22.970041	59.2328
NC_017831	22.510574	67.85163
NC_017834	22.703318	60.474426
NC_009381	23.357323	47.643936
NC_015709	23.113447	44.0945
NC_009380	21.986723	69.461006
NC_011963	22.414017	69.17617
NC_015707	24.404633	40.324066
NC_011969	24.21556	35.5624
NC_015703	24.230303	46.589687
NC_009785	23.686893	40.50678
NC_002663	23.757103	40.404884
NC_002662	23.80857	35.329384
NC_018290	22.604431	59.841263
NC_009783	23.450035	45.546513
NC_009782	23.98157	32.877666
NC_016024	22.934118	61.37353
NC_016023	23.903585	46.487106
NC_018286	22.599665	59.77446
NC_018289	22.368004	67.402824
NC_015702	24.27295	39.036114
NC_009379	23.217682	44.834103
NC_016027	22.729824	60.916573
NC_016026	22.81732	54.712986
NC_017846	23.799276	44.313614
NC_017847	23.662899	39.11469
NC_009376	23.780876	55.05088
NC_011978	24.441006	46.942417
NC_011979	23.250927	53.47198
NC_002655	23.455713	50.443565
NC_016011	23.784676	37.132023
NC_016010	22.476604	64.91992
NC_016012	24.548483	27.978907
NC_009767	23.010954	60.690075
NC_011989	22.71064	57.657562
NC_011985	22.832705	60.33744
NC_008595	22.245804	68.9881
NC_008593	24.198704	28.855682
NC_005296	22.61406	65.03815
NC_008599	24.126259	33.30751
NC_005295	24.172628	27.47879
NC_008596	22.363192	67.4028
NC_018266	22.26335	71.291504
NC_018267	24.262875	32.06996
NC_016002	22.878223	64.356575
NC_007802	22.565985	62.332176
NC_016001	24.445969	32.8577
NC_008563	23.442734	50.548565
NC_011999	24.08076	36.876858
NC_010468	23.419231	50.86652
NC_015736	22.343824	58.831615
NC_015737	23.463718	50.740498
NC_015738	22.761133	56.200474
NC_015733	22.973024	62.32242
NC_015732	23.7452	45.57589
NC_015735	23.515362	43.518784
NC_015734	23.616522	37.903755
NC_011992	22.553917	66.833984
NC_011993	23.409702	50.695602
NC_010465	23.314234	47.530376
NC_015731	23.491426	45.443066
NC_013199	23.437605	46.744324
NC_013198	23.46163	46.690006
NC_015730	22.76174	57.206177
NC_013194	22.751314	64.110954
NC_008942	23.408731	50.00659
NC_013192	24.430365	29.645687
NC_008576	23.002747	54.16748
NC_008577	23.250679	48.054966
NC_002620	23.75892	40.337265
NC_008570	23.10856	61.548405
NC_008571	24.091024	36.61076
NC_004631	23.437405	52.051693
NC_008578	22.08987	66.90736
NC_010471	23.577719	38.9891
NC_010473	23.46076	50.781315
NC_015744	23.694286	41.326653
NC_010475	23.323725	49.63104
NC_015740	22.924046	63.928425
NC_009792	23.41948	53.827805
NC_008541	22.149807	65.46616
NC_008542	22.607954	66.78141
NC_015714	23.404888	52.735947
NC_015717	22.781752	59.171043
NC_017857	23.399471	44.748585
NC_017856	23.11467	47.797394
NC_015711	22.454376	70.62513
NC_010483	24.42576	46.177677
NC_010482	23.824228	49.000694
NC_015713	24.294825	41.777344
NC_013171	23.926594	36.068764
NC_013170	22.574446	50.911545
NC_012108	23.800383	48.847008
NC_013174	22.256674	58.416683
NC_013173	23.19135	58.647
NC_013172	21.844746	72.04578
NC_008554	23.343859	59.94873
NC_012115	24.767384	33.50753
NC_008555	23.795391	36.352016
NC_008553	23.21707	53.545277
NC_015725	24.166132	29.288908
NC_015726	22.657835	66.49307
NC_008150	23.383734	47.701195
NC_017867	22.735487	60.48188
NC_017866	22.730616	60.482822
NC_010498	23.456633	50.496674
NC_008148	22.416496	70.476585
NC_015722	24.034187	36.553543
NC_018227	22.936934	60.640026
NC_008146	22.248184	68.453415
NC_002607	21.503834	67.91304
NC_018221	23.714903	37.487488
NC_017861	24.049921	43.125637
NC_008149	23.361876	47.584015
NC_018224	21.834175	64.24902
NC_018220	22.996672	61.430042
NC_017161	24.502577	44.000854
NC_017162	23.638058	39.168312
NC_016783	22.596489	53.650875
NC_017167	23.199331	61.523308
NC_016782	22.607752	53.433453
NC_017168	23.373167	47.582508
NC_016781	22.581457	52.184658
NC_013158	21.873137	62.899963
NC_014644	22.981558	41.36312
NC_016787	22.601849	53.50292
NC_014643	22.624779	53.68769
NC_016786	22.60809	53.434193
NC_013159	22.133621	67.31514
NC_016785	22.604227	53.59265
NC_016784	23.698956	46.506542
NC_014640	22.687492	65.98756
NC_007086	22.527367	64.95703
NC_016789	22.584572	53.70499
NC_013156	24.496933	32.209923
NC_016788	22.594677	53.45352
NC_010424	23.021935	60.847137
NC_013654	23.444195	50.738422
NC_013656	23.9141	34.910267
NC_017171	23.68744	39.03661
NC_017150	22.830824	53.085472
NC_013161	23.701986	39.82134
NC_016790	22.59373	53.43738
NC_013162	24.22645	39.58797
NC_017154	23.330044	47.626015
NC_016791	23.919226	37.25566
NC_014657	24.516045	35.438797
NC_014656	22.572042	59.946037
NC_016795	22.826658	57.15705
NC_014655	24.241535	40.413628
NC_016798	23.697517	41.302853
NC_013169	21.78032	71.62753
NC_012522	22.26404	67.8948
NC_014654	23.832148	33.161354
NC_016797	22.852177	57.2125
NC_014652	24.597944	36.114834
NC_016799	22.61488	53.621204
NC_013165	22.84243	60.211597
NC_014650	24.121578	44.01622
NC_013166	23.516018	43.6871
NC_000868	24.463778	44.713894
NC_014658	24.340565	31.636992
NC_012526	22.302496	63.388165
NC_014659	22.025097	68.824844
NC_013665	23.490973	54.91688
NC_007484	23.465506	50.31762
NC_017160	23.341064	47.631893
NC_007481	23.389902	40.23482
NC_017146	22.852972	53.0376
NC_013131	22.074411	69.76708
NC_013132	24.140873	45.22712
NC_016768	22.043617	65.61501
NC_014622	23.765154	45.24231
NC_014624	23.660385	47.4975
NC_014623	22.574013	67.45865
NC_012559	22.766436	62.352318
NC_014625	22.553343	61.723743
NC_016771	24.24517	35.593742
NC_007880	24.366987	32.152634
NC_016778	22.828438	57.205975
NC_016779	24.234182	35.3741
NC_016776	24.295527	43.415047
NC_017138	24.044651	38.23907
NC_014632	24.13877	34.534496
NC_014638	22.46084	62.666435
NC_014639	23.836346	43.21929
NC_012578	23.350758	47.831875
NC_009342	22.553478	54.13313
NC_016745	23.002174	61.10198
NC_009348	23.223427	58.51118
NC_007899	23.811483	39.375378
NC_006370	23.434584	41.968975
NC_016749	23.701792	37.627285
NC_013119	22.845192	57.225388
NC_016751	24.984964	29.155504
NC_009332	23.708643	38.62848
NC_013124	21.938593	68.28934
NC_012560	22.874723	65.67555
NC_013123	25.889053	22.59517
NC_012563	24.361599	28.211012
NC_017195	23.866455	43.866573
NC_009338	22.227112	67.91662
NC_009337	23.120247	52.991722
NC_006361	22.107718	70.83343
NC_006360	24.694742	28.561153
NC_006369	24.057934	38.41637
NC_006368	24.077291	38.373108
NC_014618	23.320192	57.018097
NC_014616	22.450611	62.75844
NC_014614	23.896847	33.299725
NC_010400	23.711454	39.19279
NC_017188	23.763422	45.82527
NC_017187	24.375963	27.067745
NC_009328	23.888044	49.00974
NC_017186	22.254108	71.29176
NC_012590	22.344984	60.63417
NC_017192	24.428001	26.563744
NC_007493	22.408995	69.00551
NC_006396	21.788849	62.36386
NC_007492	23.065266	60.520954
NC_017190	23.77277	45.705387
NC_017191	23.774868	45.820995
NC_007498	23.196724	55.113747
NC_010407	21.77865	72.55617
NC_000853	24.412832	46.247726
NC_000854	23.161417	56.311268
NC_005773	23.00656	58.01502
NC_012582	23.362118	47.779984
NC_010410	23.679691	39.37999
NC_012587	22.698038	63.02883
NC_012588	24.596285	35.0995
NC_012589	24.597372	35.11102
NC_017179	24.147602	28.608507
NC_017178	0.0	28.671799
NC_017173	0.0	28.53776
NC_012581	24.242554	35.38083
NC_017174	0.0	28.673485
NC_013642	24.392035	46.140755
NC_013209	22.852682	53.03682
NC_007404	22.695383	66.06722
NC_018697	23.33916	41.998886
NC_018690	23.528843	40.243256
NC_018691	22.876528	61.631565
NC_007406	22.64578	62.049007
NC_018692	23.221413	44.60783
NC_018693	24.20787	35.411472
NC_006322	23.828552	46.194744
NC_016832	23.456493	52.063942
NC_012483	22.980015	60.49701
NC_013202	21.729403	65.62908
NC_016831	23.435432	52.20922
NC_012489	22.337355	64.27436
NC_016830	23.035023	60.783993
NC_013203	22.90192	45.6866
NC_013204	22.593758	64.2046
NC_012488	23.727823	38.06234
NC_013205	23.194221	62.334602
NC_016829	24.34877	25.90617
NC_018681	22.36124	68.04707
NC_016826	23.701094	37.556
NC_003272	23.501518	41.34755
NC_012491	23.826294	47.273552
NC_012490	22.26817	62.313766
NC_016822	23.474869	50.983364
NC_016816	23.24614	53.44751
NC_006348	22.542292	68.15425
NC_006347	24.326403	43.26605
NC_016818	23.28297	52.121117
NC_018677	25.316837	26.211262
NC_018678	23.157232	44.81261
NC_018679	23.214632	44.63003
NC_016812	22.716646	62.607063
NC_016811	24.119602	38.172455
NC_016810	23.42186	52.18333
NC_016803	23.166742	65.20937
NC_016804	22.04141	65.65567
NC_016805	23.634172	37.77221
NC_016807	23.823734	39.97915
NC_018664	24.037905	29.934645
NC_016808	23.776293	40.43727
NC_018661	23.456137	50.71916
NC_016809	23.689222	38.14149
NC_006350	22.533535	67.71993
NC_018665	23.56898	47.48097
NC_011498	24.214645	38.808994
NC_016800	22.622364	53.55606
NC_016802	22.59741	53.711353
NC_016801	22.618803	53.503395
NC_017527	22.840265	60.627388
NC_015214	23.992783	38.147865
NC_018658	23.45343	50.714333
NC_014166	24.409384	28.36085
NC_017528	22.046146	65.61854
NC_014169	22.637182	59.814888
NC_014168	22.085335	66.79129
NC_017523	22.046938	65.61308
NC_017524	22.055113	65.599266
NC_015215	23.734118	37.648506
NC_017521	24.352999	23.678905
NC_017522	22.058107	65.59322
NC_015216	23.735563	35.828655
NC_017520	22.95588	38.812843
NC_014160	24.170597	46.73434
NC_014165	22.291416	72.42918
NC_017111	22.851908	53.034245
NC_017529	23.720808	38.193027
NC_017514	23.228619	51.43709
NC_015222	23.535778	44.835133
NC_017515	23.249252	51.4049
NC_017516	23.226387	51.446415
NC_018648	23.485247	27.435
