acc	quantile	meanTaiLe	costLe	GCLe	meanTaiLa	costLa	GCLa
NC_009483	2	0.48121646	23.353981	0.5300093	0.49378952	23.556295	0.5342998
NC_009483	3	0.49578255	23.06949	0.55551136	0.50827324	23.24026	0.56098086
NC_009483	4	0.5084121	23.10064	0.57737714	0.5215551	23.193077	0.582761
NC_009483	5	0.5279475	22.941036	0.6033835	0.53835064	23.249592	0.6019305
NC_011852	1	0.25148708	24.704697	0.38833264	0.25096637	24.618885	0.39992198
NC_011852	2	0.27816442	23.959846	0.40677693	0.27772984	23.961744	0.40456703
NC_011852	3	0.29615366	23.638634	0.40619075	0.29382262	23.725592	0.405788
NC_011852	4	0.31765595	23.213808	0.4132654	0.3146381	23.465746	0.41418308
NC_011852	5	0.3619168	22.801916	0.42189726	0.35003528	23.12014	0.42350605
NC_009484	1	0.46824467	22.563442	0.6431024	0.46227852	22.71477	0.6349875
NC_009484	2	0.5175246	22.28136	0.6877217	0.5166635	22.141981	0.68846613
NC_009484	3	0.5338084	22.312082	0.6951987	0.53506184	22.26747	0.69989187
NC_009484	4	0.5473614	22.343252	0.6959041	0.54924685	22.274797	0.70271623
NC_009484	5	0.56912935	22.221476	0.6989101	0.5711265	22.241865	0.70474535
NC_009487	1	0.30357456	25.225143	0.32378343	0.29861206	26.007942	0.31868917
NC_009487	2	0.3369455	24.368235	0.33571935	0.33584967	24.938984	0.3308339
NC_009487	3	0.35722393	23.945559	0.33637023	0.35319263	24.488432	0.33571795
NC_009487	4	0.3780162	23.393007	0.34195104	0.37492505	23.851656	0.34143952
NC_009487	5	0.42176685	22.455446	0.34941792	0.4137151	23.36203	0.3395032
NC_009488	1	0.4529902	24.771145	0.30518523	0.4510147	24.871838	0.30490017
NC_009488	2	0.4794171	24.205994	0.31192267	0.4808587	24.598127	0.3027223
NC_009488	3	0.49349105	24.178444	0.31066892	0.49481475	24.506382	0.3081492
NC_009488	4	0.5058062	24.210485	0.3054038	0.507785	23.877083	0.30955744
NC_009488	5	0.5302605	24.147709	0.31362346	0.5321976	24.169544	0.320206
NC_013714	1	0.3687159	23.335346	0.55632883	0.3626302	23.615683	0.5606733
NC_013714	2	0.41468352	22.935785	0.58845115	0.40803397	22.981985	0.5901706
NC_013714	3	0.43401965	22.797998	0.5931502	0.42886844	22.662006	0.60060054
NC_013714	4	0.45284978	22.704357	0.6051078	0.44641578	22.632895	0.6091853
NC_013714	5	0.47689334	22.516544	0.61408496	0.47065505	22.689203	0.6129859
NC_013715	1	0.39763057	22.072197	0.5840141	0.36688313	21.79073	0.59461474
NC_013715	2	0.4424035	22.210213	0.6131297	0.4161059	22.022816	0.59778506
NC_013715	3	0.46350628	22.183258	0.6222242	0.44300064	22.20291	0.6020181
NC_013715	4	0.48186517	22.042778	0.62288994	0.46527177	22.335423	0.6236051
NC_013715	5	0.5113071	22.066202	0.6197056	0.49574858	22.455542	0.62400836
NC_012912	1	0.2738301	23.735933	0.51463526	0.27602682	23.87532	0.49301675
NC_012912	2	0.30448616	23.308327	0.5585151	0.31299978	23.292809	0.55771613
NC_012912	3	0.32128176	23.084015	0.572001	0.33189097	23.2721	0.57267547
NC_012912	4	0.33898386	22.946245	0.57890344	0.348689	23.065647	0.5794428
NC_012912	5	0.3729997	22.76883	0.56710213	0.37840986	22.959616	0.56875247
NC_012913	1	0.17362925	24.745378	0.4070487	0.18023427	24.664341	0.40845647
NC_012913	2	0.1938825	24.188944	0.4345951	0.19978866	24.33107	0.42295364
NC_012913	3	0.20475957	23.752777	0.43449533	0.2105898	23.688097	0.4337072
NC_012913	4	0.21519502	23.464516	0.44070834	0.22096626	23.38753	0.44152018
NC_012913	5	0.2353608	23.001516	0.440495	0.23924288	23.013693	0.44680345
NC_012914	1	0.30775955	24.094673	0.4956866	0.31059355	24.24653	0.49774063
NC_012914	2	0.33582053	23.76285	0.50940835	0.33919203	23.85284	0.51035523
NC_012914	3	0.35139933	23.56709	0.51980656	0.3554781	23.866499	0.51656216
NC_012914	4	0.3702977	23.462753	0.52048725	0.37232086	23.732252	0.5200316
NC_012914	5	0.41365084	23.040749	0.5153103	0.41139063	23.237617	0.5202299
NC_013716	1	0.30657607	23.913662	0.48910066	0.3107419	23.881422	0.4853128
NC_013716	2	0.34711513	23.45629	0.56202847	0.3532579	23.512724	0.56320405
NC_013716	3	0.36619973	23.272224	0.5800241	0.3729868	23.149534	0.5801145
NC_013716	4	0.38379666	23.219671	0.57776	0.38990074	23.322948	0.5823684
NC_013716	5	0.4182624	22.796429	0.56961995	0.42110318	22.932816	0.5723748
NC_003028	1	0.23010476	24.929655	0.3929708	0.22789876	25.210197	0.39597768
NC_003028	2	0.25095597	24.192894	0.40031588	0.24803223	24.813255	0.39172605
NC_003028	3	0.26439553	23.412819	0.4077986	0.26222244	24.386919	0.39475164
NC_003028	4	0.28057536	23.50564	0.41261163	0.27759424	23.38717	0.4167328
NC_003028	5	0.31361026	22.816322	0.4205936	0.30727553	23.345167	0.4135312
NC_009882	1	0.29532897	24.767237	0.32017237	0.2972544	25.477064	0.30881947
NC_009882	2	0.31700575	24.25853	0.33544517	0.32277045	24.730976	0.32350758
NC_009882	3	0.32673743	24.217348	0.3358333	0.3348297	24.553375	0.32255897
NC_009882	4	0.3381618	23.608263	0.3343911	0.34599486	24.094381	0.33355114
NC_009882	5	0.3593019	23.526224	0.3320651	0.36732498	23.440851	0.33431724
NC_009881	1	0.4367346	24.819868	0.31886238	0.44163662	25.181568	0.31540865
NC_009881	2	0.46966228	24.38921	0.33158603	0.47927272	24.692436	0.32309553
NC_009881	3	0.48552704	24.047564	0.34028688	0.49552926	24.514559	0.3186472
NC_009881	4	0.5010018	24.128746	0.32528502	0.5092548	23.805021	0.32963958
NC_009881	5	0.530921	23.443518	0.33311588	0.53785	23.625168	0.33558583
NC_013720	1	0.39627764	22.574053	0.5555464	0.39896926	22.92785	0.5554115
NC_013720	2	0.41000795	22.532114	0.57590044	0.410671	22.578245	0.57839924
NC_013720	3	0.41584718	22.736576	0.58071065	0.41650778	22.623753	0.5846441
NC_013720	4	0.42149615	22.606497	0.58942133	0.42192602	22.695107	0.5892593
NC_013720	5	0.4307454	22.766441	0.59436685	0.43127465	22.716269	0.5978355
NC_009883	1	0.30404148	24.824755	0.3213085	0.30506974	25.030647	0.30905244
NC_009883	2	0.3220241	24.538734	0.31813592	0.32705387	24.76819	0.3144471
NC_009883	3	0.3322312	24.020262	0.32058665	0.33873647	24.184479	0.31808114
NC_009883	4	0.34243658	23.732983	0.32195184	0.34880427	24.107487	0.31598988
NC_009883	5	0.36204153	23.458466	0.32217032	0.369867	23.761185	0.3240758
NC_013722	1	0.45237806	23.108215	0.57694405	0.45496762	23.192947	0.5877754
NC_013722	2	0.51431346	22.70441	0.62827337	0.51761717	22.766985	0.6328189
NC_013722	3	0.5361186	22.478373	0.64468825	0.5392495	22.593817	0.6459776
NC_013722	4	0.5533515	22.441486	0.64962095	0.5587742	22.557957	0.65386826
NC_013722	5	0.575692	22.083458	0.6517323	0.5810969	22.377542	0.6563178
NC_013721	1	0.3586123	23.321783	0.39141402	0.35399422	23.60165	0.38993463
NC_013721	2	0.38487104	22.975357	0.41020596	0.38198262	23.090313	0.39794028
NC_013721	3	0.4025326	22.920376	0.42784217	0.39792714	23.376675	0.41655064
NC_013721	4	0.4187344	22.683834	0.44691542	0.4145921	23.040775	0.4354578
NC_013721	5	0.45069835	22.63785	0.48045784	0.44819003	22.581741	0.47216028
NC_009480	1	0.7224608	21.632984	0.7114213	0.7167441	21.60325	0.71887225
NC_009480	2	0.7836959	21.48738	0.73953736	0.77920216	21.566278	0.74373996
NC_009480	3	0.80015266	21.669542	0.7368131	0.7984465	21.717869	0.7377315
NC_009480	4	0.8109398	21.54513	0.7302015	0.8104091	21.893269	0.73090893
NC_009480	5	0.82582134	21.881407	0.7214815	0.825681	21.761328	0.7304723
NC_009482	1	0.55663764	22.713474	0.55418617	0.5700814	22.399843	0.57192403
NC_009482	2	0.60632247	22.364151	0.6126885	0.62286496	22.35271	0.61173123
NC_009482	3	0.62652844	22.324766	0.6174275	0.64432883	22.310791	0.624917
NC_009482	4	0.6442266	22.318157	0.62401307	0.6633497	22.306051	0.63132185
NC_009482	5	0.6807655	23.010641	0.62960243	0.69677377	22.897762	0.63296944
NC_009481	1	0.36911052	22.586546	0.5762118	0.37423563	22.726	0.5768541
NC_009481	2	0.40517023	22.30551	0.5933718	0.41145787	22.425863	0.6030194
NC_009481	3	0.42096996	22.314041	0.6167757	0.43022385	22.270521	0.61352086
NC_009481	4	0.43649986	22.36691	0.62087715	0.44885805	22.411308	0.6196255
NC_009481	5	0.46749827	23.036425	0.62987906	0.47642806	22.928698	0.6207001
NC_011094	1	0.2912986	24.325365	0.47902632	0.30089974	24.258955	0.49080157
NC_011094	2	0.3267207	23.47871	0.5331611	0.33501968	23.855234	0.5341204
NC_011094	3	0.34611857	23.253122	0.5397289	0.35344216	23.380783	0.5440077
NC_011094	4	0.36632413	23.20506	0.54781675	0.37185234	23.223436	0.5463312
NC_011094	5	0.40572545	22.897406	0.5465064	0.40589905	23.051003	0.5447217
NC_013729	1	0.48781294	21.808475	0.7002266	0.48022977	21.952074	0.6993929
NC_013729	2	0.5298806	21.9031	0.7115129	0.52214867	22.008007	0.7103319
NC_013729	3	0.5463547	21.970547	0.71192795	0.5399719	22.11437	0.71285677
NC_013729	4	0.5583441	22.055725	0.71189666	0.5530697	22.126568	0.7144401
NC_013729	5	0.57406086	22.161026	0.7149473	0.57041115	22.28496	0.7152106
NC_002528	1	0.5829172	25.457455	0.27616248	0.59429437	25.546839	0.26327643
NC_002528	2	0.6216352	25.060976	0.2810075	0.63404775	25.280783	0.26370993
NC_002528	3	0.63942224	25.139057	0.26746202	0.652559	24.874582	0.27208906
NC_002528	4	0.65527755	24.934446	0.27712104	0.669664	24.670351	0.27495357
NC_002528	5	0.69221574	24.258595	0.29042476	0.7033392	24.476332	0.27708843
NC_010794	1	0.6172416	25.10037	0.41718453	0.61154103	25.410187	0.41167614
NC_010794	2	0.64644027	24.602268	0.44407108	0.6421648	24.665468	0.44079778
NC_010794	3	0.6608637	24.190372	0.4591269	0.6569508	24.402744	0.44962624
NC_010794	4	0.67542315	24.156881	0.46999392	0.67274004	24.189005	0.46947545
NC_010794	5	0.7047018	24.01836	0.49363667	0.70344007	24.004942	0.5082125
NC_010793	1	0.44804943	24.565239	0.3143179	0.44807166	24.608038	0.31477875
NC_010793	2	0.47961643	24.455374	0.3172613	0.48288968	24.484438	0.3155501
NC_010793	3	0.4942371	24.324139	0.31109673	0.4977229	24.315752	0.31330243
NC_010793	4	0.51010257	23.949408	0.31308195	0.5140039	24.109127	0.31620425
NC_010793	5	0.53902173	24.095257	0.3248295	0.54073185	24.040646	0.3238443
NC_011831	1	0.46253583	23.384563	0.5271312	0.46482304	23.494589	0.5294295
NC_011831	2	0.48058978	22.966496	0.5587971	0.48132694	23.099194	0.560497
NC_011831	3	0.48885545	23.03443	0.5701754	0.489352	22.887075	0.5678375
NC_011831	4	0.4975766	23.065594	0.5783029	0.49812433	23.073664	0.5779259
NC_011831	5	0.516303	23.029877	0.6048502	0.515976	22.861137	0.60094225
NC_011832	1	0.115424894	23.830812	0.4788271	0.11814864	23.811747	0.48550844
NC_011832	2	0.12447827	23.095247	0.5575644	0.12639911	23.216064	0.55393356
NC_011832	3	0.12844712	22.891933	0.58175695	0.13016194	23.044985	0.5773696
NC_011832	4	0.1320412	22.646818	0.60061604	0.13366415	22.860987	0.59594536
NC_011832	5	0.13928635	22.784454	0.62009734	0.14016178	22.778326	0.61440575
NC_011833	1	0.5851589	25.403706	0.2769826	0.594882	25.580643	0.26370466
NC_011833	2	0.6220897	25.102568	0.27481276	0.634376	25.302128	0.26361284
NC_011833	3	0.63997614	24.99478	0.2761276	0.6526626	24.773674	0.27293044
NC_011833	4	0.6563091	24.963593	0.27490303	0.669311	24.83927	0.27152252
NC_011833	5	0.6930873	24.255089	0.28993392	0.70332396	24.43775	0.27836663
NC_011834	1	0.5848939	25.398815	0.27795756	0.5940246	25.493814	0.2662456
NC_011834	2	0.6220743	24.963373	0.27916375	0.63363135	25.311111	0.2614018
NC_011834	3	0.6393078	25.135813	0.27014908	0.65244615	24.841423	0.27134743
NC_011834	4	0.65631044	25.002716	0.27554002	0.6693611	24.785295	0.2749153
NC_011834	5	0.6925628	24.235626	0.29060945	0.7030611	24.478952	0.27681825
NC_011835	1	0.3579269	23.149462	0.58548325	0.35449168	23.216764	0.574183
NC_011835	2	0.39310646	23.133615	0.60866624	0.3919066	22.884739	0.60752475
NC_011835	3	0.4101791	22.582283	0.624064	0.4087644	22.715843	0.6161569
NC_011835	4	0.4246317	22.592005	0.6281166	0.424076	22.762478	0.62618506
NC_011835	5	0.44788957	22.334488	0.638398	0.4434297	22.337477	0.63327223
NC_011837	1	0.27349925	25.012354	0.30152878	0.26721358	25.426483	0.2966167
NC_011837	2	0.29130515	24.416075	0.31321892	0.28847545	24.647377	0.31315574
NC_011837	3	0.3022412	24.108782	0.3244767	0.30109394	24.461964	0.31991002
NC_011837	4	0.31352162	23.973652	0.33426434	0.3137434	24.15615	0.33758503
NC_011837	5	0.33466062	23.351208	0.37240797	0.33287352	23.88975	0.3698959
NC_003030	1	0.34205192	25.125061	0.30116078	0.33233935	25.356106	0.30006567
NC_003030	2	0.37085667	24.21125	0.31073785	0.36241648	24.130405	0.31193823
NC_003030	3	0.3851182	24.092766	0.3147339	0.37927356	24.148613	0.31665477
NC_003030	4	0.39966848	23.940134	0.32295376	0.39370912	23.962336	0.3218758
NC_003030	5	0.4289507	23.75141	0.33011904	0.42131767	23.911198	0.32669777
NC_010382	1	0.21241656	24.782	0.3812231	0.21033813	24.83957	0.3836863
NC_010382	2	0.2354686	24.252604	0.3806551	0.23615666	24.608875	0.38095003
NC_010382	3	0.24928632	23.8856	0.37978938	0.24993876	24.192432	0.3802219
NC_010382	4	0.26498526	23.454473	0.37989646	0.26578626	23.791306	0.37569964
NC_010382	5	0.29787338	23.021992	0.3860761	0.29689607	23.448519	0.37870935
NC_011830	1	0.32364658	24.198572	0.46002868	0.32385534	24.189936	0.46326745
NC_011830	2	0.34814507	23.792728	0.48459935	0.3495166	24.081882	0.47515547
NC_011830	3	0.3605003	23.53374	0.49100095	0.36328307	23.643726	0.4915341
NC_011830	4	0.37274083	23.287376	0.49645242	0.37575713	23.532476	0.4998089
NC_011830	5	0.39570174	23.079468	0.49718735	0.39822102	23.534649	0.49289122
NC_011080	1	0.24193005	24.297268	0.49318862	0.24581164	24.3993	0.48928183
NC_011080	2	0.26974472	23.46892	0.5322472	0.2757444	23.796597	0.53617954
NC_011080	3	0.28609195	23.26748	0.5399277	0.2922604	23.353678	0.5406085
NC_011080	4	0.3028632	23.237406	0.5469383	0.30833444	23.164816	0.54800624
NC_011080	5	0.33857957	22.834667	0.5470456	0.33934456	23.101675	0.5416595
NC_010380	1	0.23080203	24.808535	0.39839044	0.22850733	25.042772	0.39385328
NC_010380	2	0.25165543	24.116802	0.4043528	0.25050786	24.631147	0.3874618
NC_010380	3	0.2649025	23.444838	0.4102703	0.26390418	24.181746	0.39643562
NC_010380	4	0.2814188	23.401066	0.4121359	0.27839622	23.724588	0.4053704
NC_010380	5	0.3139386	22.857391	0.41833898	0.3066386	23.331432	0.41377208
NC_011083	1	0.2955996	24.316135	0.48128018	0.30308872	24.364115	0.48252088
NC_011083	2	0.33131918	23.572266	0.52862823	0.33913565	23.830019	0.5315774
NC_011083	3	0.35073155	23.2169	0.5397218	0.35848603	23.415215	0.54283553
NC_011083	4	0.37179682	23.24124	0.54635173	0.37770563	23.24233	0.5466821
NC_011083	5	0.41376784	22.902138	0.54796237	0.41294625	23.036467	0.5463142
NC_003047	1	0.3337361	22.990799	0.6229528	0.33143705	23.070717	0.6213369
NC_003047	2	0.36158136	22.871733	0.63985723	0.36161685	22.987686	0.6401389
NC_003047	3	0.37408063	22.700672	0.6406187	0.37416074	22.792192	0.6408563
NC_003047	4	0.3851689	22.495514	0.64049846	0.38489428	22.50462	0.64274186
NC_003047	5	0.40234706	22.16675	0.63365656	0.40289608	22.37309	0.63819027
NC_008497	1	0.44918156	24.382101	0.45634767	0.4491291	24.793173	0.45773107
NC_008497	2	0.4729807	23.735334	0.4757424	0.47376776	23.804955	0.4700822
NC_008497	3	0.48667488	23.148973	0.47826523	0.48654655	23.385586	0.47989374
NC_008497	4	0.49937874	22.968138	0.47796148	0.49890527	23.13093	0.4774393
NC_008497	5	0.52328277	22.668451	0.47295198	0.5216869	23.08477	0.472903
NC_008095	1	0.27422014	22.338203	0.6612022	0.27510023	22.430576	0.66515714
NC_008095	2	0.29039726	22.307098	0.6897047	0.2910636	22.37526	0.6910429
NC_008095	3	0.29813737	22.178474	0.6989913	0.2987053	22.410938	0.6982767
NC_008095	4	0.30503958	22.13425	0.7035587	0.3058739	22.295187	0.70299935
NC_008095	5	0.31633452	22.029354	0.69890267	0.31729946	22.123905	0.70101565
NC_010397	1	0.4318847	22.47129	0.6295848	0.4265521	22.524183	0.63317335
NC_010397	2	0.46897867	22.241777	0.6421107	0.46546003	22.352697	0.6468203
NC_010397	3	0.48811817	22.14176	0.64696395	0.48297778	22.430727	0.6513353
NC_010397	4	0.5033888	22.192635	0.65045434	0.49895328	22.377949	0.6535441
NC_010397	5	0.5213297	22.02862	0.65629214	0.51847655	22.263119	0.6576783
NC_009494	1	0.38823235	24.39497	0.39127085	0.39554083	24.700539	0.38488683
NC_009494	2	0.40476537	24.156971	0.39209852	0.41405514	24.353718	0.38479415
NC_009494	3	0.41370308	23.951162	0.39725322	0.4244293	24.106527	0.38977298
NC_009494	4	0.42291537	23.752718	0.3950422	0.43374282	23.906864	0.39366794
NC_009494	5	0.44381076	23.54014	0.39152583	0.45519167	23.718515	0.39193743
NC_016148	1	0.3529142	24.151497	0.44286856	0.35238442	24.10433	0.44721726
NC_016148	2	0.37034824	23.60477	0.4621806	0.36712804	23.690357	0.46054992
NC_016148	3	0.379883	23.62079	0.47461712	0.37677035	23.774427	0.47562853
NC_016148	4	0.3905658	23.296928	0.48807028	0.3866508	23.591343	0.4895686
NC_016148	5	0.41017118	23.255373	0.51196045	0.40372542	23.479645	0.509602
NC_009495	1	0.28361672	25.379936	0.26832443	0.27304542	25.76955	0.26939487
NC_009495	2	0.31575105	24.456738	0.28086013	0.30448076	24.710852	0.27478972
NC_009495	3	0.33272427	24.227816	0.2911172	0.3226901	24.541307	0.2912309
NC_009495	4	0.3497403	23.934338	0.30522862	0.33804807	24.37543	0.30415043
NC_009495	5	0.38489422	23.456675	0.31944683	0.36787188	23.937477	0.31567046
NC_008086	1	0.34407568	24.50199	0.4140505	0.35055077	24.894386	0.40812126
NC_008086	2	0.36087582	24.344772	0.40681082	0.36798745	24.27392	0.40143716
NC_008086	3	0.3700669	24.127216	0.39881775	0.37773865	24.220947	0.40291715
NC_008086	4	0.37940812	24.080584	0.3941849	0.3868615	24.13773	0.39062676
NC_008086	5	0.39804506	24.02661	0.3791368	0.4048997	23.900272	0.38696918
NC_016147	1	0.5037416	22.893904	0.63068295	0.502345	23.020578	0.6520105
NC_016147	2	0.5554185	22.514174	0.68428963	0.5521737	22.670467	0.6845297
NC_016147	3	0.5704464	22.605717	0.6893703	0.56807816	22.372911	0.69294417
NC_016147	4	0.579684	22.37747	0.68776	0.5776935	22.327087	0.69311786
NC_016147	5	0.59154356	22.164112	0.69204617	0.5898956	22.183783	0.69202715
NC_009497	1	0.5269129	24.746191	0.29152182	0.51834506	25.218925	0.27581838
NC_009497	2	0.55201983	24.184515	0.2982025	0.54398763	24.60308	0.2868938
NC_009497	3	0.56527644	23.923761	0.30206457	0.55818135	24.575712	0.29469243
NC_009497	4	0.5808491	23.57024	0.3086783	0.5725533	23.831425	0.30714276
NC_009497	5	0.6110878	22.924042	0.3264125	0.6006697	23.321556	0.31365228
NC_016146	1	0.46351632	26.273483	0.26713136	0.46619862	25.9729	0.27168322
NC_016146	2	0.49431854	25.768114	0.2705738	0.49144548	25.54529	0.2767146
NC_016146	3	0.50389767	25.649815	0.2742947	0.50224775	25.46384	0.2796077
NC_016146	4	0.51423424	25.650948	0.27112535	0.51302755	25.643335	0.28082967
NC_016146	5	0.53283954	25.03658	0.2857937	0.5376668	25.287296	0.27597138
NC_011071	1	0.42858413	22.621552	0.64534247	0.42508146	22.759104	0.64842165
NC_011071	2	0.47437003	22.54382	0.6718946	0.4714768	22.549776	0.6729747
NC_011071	3	0.49302974	22.351479	0.6711687	0.49158546	22.566578	0.67534804
NC_011071	4	0.5098671	22.412708	0.67243266	0.50876075	22.411808	0.6756635
NC_011071	5	0.53687644	22.224043	0.667016	0.535354	22.179218	0.6754164
NC_011072	1	0.22912808	24.944487	0.4003804	0.22550105	25.042095	0.40777814
NC_011072	2	0.25075993	24.321377	0.39481035	0.24766126	24.423622	0.39724165
NC_011072	3	0.264827	23.69616	0.40674186	0.26295537	24.42082	0.3977394
NC_011072	4	0.28153926	23.53318	0.41317192	0.27929312	23.623102	0.4187818
NC_011072	5	0.3165407	22.863615	0.42098764	0.3105117	23.265884	0.4161458
NC_011898	1	0.27259433	24.782558	0.36512625	0.2711619	24.869106	0.3641007
NC_011898	2	0.2938144	24.052717	0.37641606	0.2905206	24.436716	0.3768855
NC_011898	3	0.3046551	23.809343	0.38383365	0.29994634	24.095146	0.37575635
NC_011898	4	0.3151454	23.669096	0.3907381	0.3099019	23.967464	0.38653922
NC_011898	5	0.33513197	23.162657	0.39374584	0.33192742	23.574537	0.3913961
NC_011899	1	0.33758777	24.572079	0.38066074	0.33595127	24.756605	0.37215123
NC_011899	2	0.35748947	23.824055	0.3943976	0.36290732	24.206781	0.38758752
NC_011899	3	0.3688682	23.88136	0.39490753	0.3748775	24.460608	0.38943112
NC_011899	4	0.37956727	24.02653	0.3922538	0.38492933	24.524754	0.381032
NC_011899	5	0.40061197	24.009953	0.3882682	0.40954453	24.366325	0.38255233
NC_012225	1	0.449972	25.45689	0.2596546	0.453393	25.532919	0.2505971
NC_012225	2	0.47351888	24.615297	0.2737198	0.48135054	24.81744	0.26119706
NC_012225	3	0.48649976	24.208612	0.28296113	0.49653187	24.3111	0.28270093
NC_012225	4	0.49997148	24.06792	0.28973237	0.51041734	24.21623	0.29389083
NC_012225	5	0.5288911	23.613276	0.31391814	0.5371976	23.787365	0.30712208
NC_011060	1	0.2684209	24.25059	0.43162635	0.27499855	23.971296	0.45572937
NC_011060	2	0.29578033	23.737778	0.48063827	0.30030015	23.788729	0.48288622
NC_011060	3	0.30822882	23.627901	0.49220365	0.31457368	23.579533	0.50288355
NC_011060	4	0.3184527	23.21816	0.5044911	0.3265347	23.494219	0.50589764
NC_011060	5	0.33451632	23.22165	0.51298416	0.3437171	23.245724	0.5241813
NC_007712	1	0.30116656	23.624763	0.54534024	0.29436615	23.74402	0.525897
NC_007712	2	0.33035257	23.397863	0.5631473	0.32856852	23.467882	0.5631682
NC_007712	3	0.3471021	23.028324	0.5747322	0.34592	23.329334	0.5680137
NC_007712	4	0.36265698	22.819302	0.57686585	0.36082253	23.126444	0.5703832
NC_007712	5	0.39075005	22.588245	0.5655514	0.38581565	22.920444	0.5626476
NC_007716	1	0.34796038	26.48349	0.23806484	0.35353252	26.34414	0.24888965
NC_007716	2	0.37916058	25.509142	0.28032023	0.3779628	25.589561	0.26084098
NC_007716	3	0.39081585	24.818926	0.29659355	0.3918204	25.105522	0.28395358
NC_007716	4	0.4010498	24.518486	0.30409068	0.40226793	25.090286	0.28715557
NC_007716	5	0.41910186	24.093145	0.30434522	0.4160278	24.274618	0.2925209
NC_011894	1	0.17132026	22.831999	0.63680106	0.17129657	22.70537	0.64599884
NC_011894	2	0.19603099	22.45185	0.69434744	0.19588771	22.489899	0.6932057
NC_011894	3	0.20603524	22.307602	0.7131496	0.20556991	22.223589	0.7127651
NC_011894	4	0.21327837	22.043007	0.7120556	0.21296631	22.038877	0.7154042
NC_011894	5	0.22427964	21.9241	0.70680636	0.2241798	21.863716	0.7085511
NC_010364	1	0.44193107	21.961086	0.6372672	0.4298926	22.04986	0.61146355
NC_010364	2	0.46646115	21.49243	0.68531555	0.45859236	21.469212	0.68642026
NC_010364	3	0.47629115	21.335453	0.6929915	0.46776384	21.609297	0.69288784
NC_010364	4	0.48585528	21.419147	0.7000985	0.47540203	21.616392	0.6994299
NC_010364	5	0.50086594	21.163399	0.7191215	0.49078634	21.338333	0.7095747
NC_011896	1	0.602028	22.580502	0.5867468	0.5874793	22.784594	0.58840096
NC_011896	2	0.6613561	22.278404	0.6020358	0.64567274	22.404816	0.59898466
NC_011896	3	0.68650985	22.219362	0.60491747	0.6735448	22.645668	0.60277414
NC_011896	4	0.7097666	22.119104	0.6099902	0.6979609	22.326302	0.60827124
NC_011896	5	0.7415108	22.122828	0.6086505	0.7339361	22.557213	0.602969
NC_011891	1	0.5561534	22.079441	0.73140234	0.5530491	21.765518	0.74298006
NC_011891	2	0.570713	21.864286	0.75133014	0.56756616	21.843664	0.75541157
