organism	NCBI_taxonomy_id	NCBI_bioProjectAccession	NCBI_bioProjectID	Group	SubGroup	A1le	T1le	G1le	C1le	A2le	T2le	G2le	C2le	A4le	T4le	G4le	C4le	A1la	T1la	G1la	C1la	A2la	T2la	G2la	C2la	A4la	T4la	G4la	C4la	genomicGC	ioAle	ioTle	ioGle	ioCle	genes	genomicLen	habitatNCBI	habitatGold	habitatImg
NC_009441	Flavobacterium johnsoniae UW101	376686	PRJNA58493	58493	Bacteroidetes/Chlorobi group	Bacteroidetes	629089	425939	440316	292477	197715	225185	52127	85744	130869	131432	47488	38950	581816	388718	388388	271258	183167	195064	40972	88085	111910	123948	39520	42047	34.11	151382	153111	82950	77624	5017	6096872	Multiple	Environmental	Environmental
NC_014816	Asticcacaulis excentricus CB 48	573065	PRJNA55641	55641	Proteobacteria	Alphaproteobacteria	206707	178780	264616	193269	25773	44281	41117	76865	18260	37981	94806	96328	155183	131211	191194	147009	20372	30031	27791	61212	14960	24656	64412	79709	59.18	37015	38419	55494	52607	2330	2588221	Aquatic	Host-associated	Environmental
NC_008702	Azoarcus sp. BH72	62928	PRJNA61603	61603	Proteobacteria	Betaproteobacteria	303592	286223	471525	329222	23318	31899	71385	168439	12870	25625	192907	203329	258951	235999	390625	294580	22945	20077	52328	151927	12389	15573	151396	191143	67.92	26935	27770	58559	55722	3989	4376040	HostAssociated	Host-associated	Host-associated
NC_011146	Geobacter bemidjiensis Bem	404380	PRJNA58749	58749	Proteobacteria	delta/epsilon subdivisions	446664	375113	526300	362438	50858	44904	118433	198113	33876	51229	172025	213605	239627	196461	271399	193688	29169	21026	61346	109300	19994	22592	88333	113403	60.27	68717	67418	105578	102249	4090	4615150	Terrestrial	Environmental	Environmental
NC_004631	Salmonella enterica subsp. enterica serovar Typhi str. Ty2	209261	PRJNA57973	57973	Proteobacteria	Gammaproteobacteria	406116	329100	448344	310639	76246	112102	62653	127965	45654	79654	155202	112793	287079	231594	302107	222437	54873	74274	38919	94565	32774	50144	97932	92415	52.05	140300	142061	158971	147144	4314	4791950	HostAssociated	Host-associated	Host-associated
NC_015682	Thermodesulfobacterium geofontis OPF15	795359	PRJNA68283	68283	Thermodesulfobacteria	Thermodesulfobacteria	188802	139698	133801	85357	81103	71827	16707	10579	33487	51668	5765	9286	147982	107473	100312	67305	63885	54986	11424	9390	25521	39444	3813	8300	30.59	19308	20123	9122	8736	1597	1634377	NA	Environmental	Environmental
NC_008596	Mycobacterium smegmatis str. MC2 155	246196	PRJNA57701	57701	Actinobacteria	Actinobacteria	510138	473012	804140	573122	35509	45903	117422	285737	44603	55279	317529	336545	371525	352023	582790	429789	26095	33028	79988	212385	35297	37817	227056	257214	67.4	59748	61093	124194	121077	6717	6988209	HostAssociated	NA	Engineered
NC_009379	Polynucleobacter necessarius subsp. asymbioticus QLW-P1DMWA-1	312153	PRJNA58611	58611	Proteobacteria	Betaproteobacteria	236199	186717	244621	172303	54996	85424	41962	41546	49565	74921	31359	48202	128707	100629	126239	96070	32569	42921	17144	26335	27465	35961	15607	30898	44.83	16977	17660	14521	13193	2077	2159490	Aquatic	Environmental	Environmental
NC_014494	Streptococcus pneumoniae AP200	574093	PRJNA52453	52453	Firmicutes	Bacilli	306830	220828	254547	169626	78941	102898	46869	48483	59588	82708	26821	36349	76356	55102	57322	44059	19784	21982	8375	15317	13679	20463	4841	11979	39.51	52386	51425	36936	30567	2216	2130579	HostAssociated	Host-associated	Host-associated
NC_007908	Rhodoferax ferrireducens T118	338969	PRJNA58353	58353	Proteobacteria	Betaproteobacteria	365183	316714	472885	333900	46548	79682	82654	151386	32850	56228	165992	172545	300718	258485	382467	278119	40377	56545	61490	133747	29756	38455	132013	152365	59.88	55046	55936	83634	81647	4169	4712337	Multiple	Environmental	Environmental
NC_010943	Stenotrophomonas maltophilia K279a	522373	PRJNA61647	61647	Proteobacteria	Gammaproteobacteria	350485	308940	518628	359011	24757	43495	86136	196737	24982	40583	210044	199847	275898	242647	400772	292853	20388	30794	61974	162817	21542	27014	156761	171375	66.32	50026	51544	102166	96903	4388	4851126	Multiple	Environmental	Host-associated
NC_016109	Kitasatospora setae KM-6054	452652	PRJNA77027	77027	Actinobacteria	Actinobacteria	530204	509899	988094	726681	19553	7940	134628	384490	16097	15643	369323	567567	386833	394473	750992	560419	13223	8081	98458	308316	13480	13241	339620	389548	74.2	102902	100034	286985	295874	7566	8783278	Terrestrial	NA	Environmental
NC_010814	Geobacter lovleyi SZ	398767	PRJNA58713	58713	Proteobacteria	delta/epsilon subdivisions	333637	278035	376453	255563	46937	84186	75227	118679	42070	71404	117280	110842	290096	228515	305561	218661	43271	56842	57249	113565	39174	46990	89605	107305	54.77	34788	37548	44504	41620	3607	3917761	Multiple	Environmental	Environmental
NC_009953	Salinispora arenicola CNS-205	391037	PRJNA58659	58659	Actinobacteria	Actinobacteria	372275	372772	680841	468672	17910	35054	95189	250313	37830	53770	280596	279252	252193	241809	442698	323657	14550	18848	56860	171562	32882	28360	171554	199364	69.52	80356	85124	191850	182993	4917	5786361	Aquatic	Environmental	Environmental
NC_013174	Jonesia denitrificans DSM 20603	471856	PRJNA59053	59053	Actinobacteria	Actinobacteria	232045	205782	322554	255064	35609	42375	37099	89470	51539	68268	89541	100919	134879	120120	183236	151855	19758	23382	20684	53572	29257	37211	48631	65418	58.42	28092	27365	39139	38712	2511	2749646	NA	Host-associated	Host-associated
NC_012912	Dickeya zeae Ech1591	561229	PRJNA59297	59297	Proteobacteria	Gammaproteobacteria	388570	326186	452522	312873	65307	108712	73636	142176	36884	68429	178965	117354	302081	245205	323609	245157	55883	72014	45466	118461	33603	44776	113113	108204	54.52	107907	113510	139795	126209	4168	4813854	NA	NA	NA
NC_012881	Desulfovibrio salexigens DSM 2638	526222	PRJNA59223	59223	Proteobacteria	delta/epsilon subdivisions	374665	303274	391208	252890	70820	105605	71118	84972	51433	120324	64985	88459	348476	259515	315185	228430	80068	64700	40857	102803	59775	73642	50445	93937	47.09	64678	74209	66239	57294	3808	4289847	Multiple	Environmental	Environmental
NC_010380	Streptococcus pneumoniae Hungary19A-6	487214	PRJNA59117	59117	Firmicutes	Bacilli	307900	223309	260410	175801	77598	102968	47237	49413	61666	85059	28048	37582	76864	54533	55766	43134	20611	22491	8179	14975	13668	19660	4524	11455	39.63	81392	80076	56865	48407	2155	2245614	Multiple	Host-associated	Host-associated
NC_008819	Prochlorococcus marinus str. NATL1A	167555	PRJNA58423	58423	Cyanobacteria	Prochlorales	158601	125307	138466	92224	58284	66762	20671	18531	36687	51248	9293	11957	173093	119794	130963	90093	64886	59340	14963	23652	41538	41121	8017	12915	34.98	39412	43724	21649	20667	2193	1864731	Aquatic	Environmental	Environmental
NC_009567	Haemophilus influenzae PittGG	374931	PRJNA58593	58593	Proteobacteria	Gammaproteobacteria	152980	113676	133443	93883	52689	61746	12162	18062	29829	41926	18462	16513	133108	95893	109875	80992	45953	50312	8811	17860	26443	33132	13758	16449	38.01	105150	109234	68283	63633	1661	1887181	HostAssociated	Host-associated	Host-associated
NC_016909	Rickettsia rickettsii str. Arizona	1105105	PRJNA86655	86655	Proteobacteria	Alphaproteobacteria	131120	87963	88367	59185	42117	50401	11493	12600	21952	31176	8854	7469	90088	61019	55116	40446	28621	33099	5989	10791	15351	19509	4874	6061	32.44	75098	73613	38453	33280	1343	1267197	NA	NA	NA
NC_012751	Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)	572265	PRJNA59289	59289	Proteobacteria	Gammaproteobacteria	170894	124229	138512	104374	52509	62719	19280	27221	26242	38332	24880	27290	176347	125863	138377	103587	55106	64443	19632	27517	26986	38107	24414	26036	40.33	88218	89543	60808	61679	2097	2110231	HostAssociated	Host-associated	Host-associated
NC_013450	Staphylococcus aureus subsp. aureus ED98	681288	PRJNA41455	41455	Firmicutes	Bacilli	416402	269112	297051	193184	143276	159597	28337	42241	90435	87652	28393	17185	116849	82302	77114	56918	38161	44906	6365	14996	24140	26188	5604	7429	32.84	112029	100573	57272	44899	2661	2824404	NA	Environmental	Host-associated
NC_014831	Thermaerobacter marianensis DSM 12885	644966	PRJNA61727	61727	Firmicutes	Clostridia	207039	210612	414264	264281	12006	15604	60117	149475	12499	17514	183233	168723	73708	78775	153998	106073	4618	5578	19630	55545	5383	6662	65551	69683	72.48	42523	43259	115007	107105	2328	2844696	Specialized	Environmental	Environmental
NC_015497	Glaciecola sp. 4H-3-7+YE-5	983545	PRJNA66595	66595	Proteobacteria	Gammaproteobacteria	494039	373864	476497	324580	127397	174643	66653	107584	88921	122571	84987	86185	350505	253705	314431	231697	92948	112261	39390	84693	62890	77356	48833	72421	44.17	115231	118252	97146	88054	4234	5052309	NA	Environmental	Environmental
NC_006270	Bacillus licheniformis DSM 13 = ATCC 14580	279010	PRJNA58097	58097	Firmicutes	Bacilli	550978	399485	491377	324945	144171	135365	81566	126275	81875	87118	126827	108707	175122	135222	151184	108224	45523	43633	22692	43847	27399	26867	36874	39752	46.19	96499	86354	83382	72820	4173	4222597	Terrestrial	Host-associated	Host-associated
NC_015683	Corynebacterium ulcerans BR-AD22	945712	PRJNA68291	68291	Actinobacteria	Actinobacteria	233674	194692	292867	210189	37206	55074	46965	68519	48273	74927	68821	71621	135371	118559	163441	134888	22199	29043	21639	43164	31955	37983	30920	57769	53.4	41871	42522	51412	44894	2334	2606374	NA	NA	NA
NC_012522	Rhodococcus opacus B4	632772	PRJNA13791	13791	Actinobacteria	Actinobacteria	575507	558462	942600	665975	39144	44736	130873	334545	53709	58267	375518	406501	401738	389769	643539	477862	27653	28873	83850	234842	40104	35146	242478	306625	67.89	54237	54597	113997	109559	7246	7913450	NA	NA	NA
NC_007514	Chlorobium chlorochromatii CaD3	340177	PRJNA58375	58375	Bacteroidetes/Chlorobi group	Chlorobi	262958	195441	259366	190712	55934	89507	34069	44767	49689	78901	45749	50685	169599	126070	153861	121566	40439	52773	20006	32526	31473	42831	25039	36465	44.28	51995	53515	42337	39115	1999	2572079	Aquatic	Environmental	Environmental
NC_009454	Pelotomaculum thermopropionicum SI	370438	PRJNA58877	58877	Firmicutes	Clostridia	356491	289856	418769	243676	80532	68243	79610	131601	38436	58956	123133	125648	98024	78560	101068	66745	24038	19222	17601	35405	12567	15725	26024	32719	52.96	69989	67906	82304	70700	2919	3025375	Specialized	NA	Engineered
NC_016928	Staphylococcus aureus subsp. aureus M013	1118959	PRJNA88065	88065	Firmicutes	Bacilli	409612	265237	291803	190112	141177	157215	28059	41455	88982	85830	27922	16949	112800	79101	74787	55439	36667	42955	5935	14807	23566	25254	5343	7427	32.85	116263	105315	59440	47201	2591	2788636	NA	Host-associated	Host-associated
NC_015714	Treponema paraluiscuniculi Cuniculi A	545776	PRJNA68447	68447	Spirochaetes	Spirochaetia	103609	100609	133933	94549	17798	36257	26139	28202	20625	33044	41800	22632	61582	55004	68893	59133	11323	15008	10812	21005	14014	15406	17840	19889	52.74	6615	7878	8927	7407	1010	1133390	HostAssociated	Engineered	Host-associated
NC_006677	Gluconobacter oxydans 621H	290633	PRJNA58239	58239	Proteobacteria	Alphaproteobacteria	194311	174335	268935	196119	19355	40036	38973	81995	18953	42176	108235	85571	174677	151695	226144	182480	19335	28911	28963	76970	19706	28701	74761	99231	61.07	25647	27492	43452	39196	2432	2702173	Multiple	NA	NA
NC_010688	Xanthomonas campestris pv. campestris str. B100	509169	PRJNA61643	61643	Proteobacteria	Gammaproteobacteria	372671	327608	543401	393221	33495	66956	90744	187080	30222	40860	218334	208065	277020	236945	389623	296877	26312	44633	60396	144096	24851	26455	151172	162739	65.04	73415	76019	142170	136503	4466	5079002	NA	NA	NA
NC_008800	Yersinia enterocolitica subsp. enterocolitica 8081	393305	PRJNA57741	57741	Proteobacteria	Gammaproteobacteria	398642	317507	418321	289150	89488	141363	64250	96368	61525	101806	102293	88019	296131	234247	293607	218434	68928	98281	40313	78041	47768	66026	68486	76542	47.27	131792	136960	126268	115313	3988	4615899	Multiple	Host-associated	Host-associated
NC_009943	Desulfococcus oleovorans Hxd3	96561	PRJNA58777	58777	Proteobacteria	delta/epsilon subdivisions	343210	282980	388965	246417	50170	68806	62027	138857	28754	42878	132072	140874	265363	215673	286576	193904	42816	47357	41150	111282	23769	29688	94808	112609	56.17	65242	66053	86309	82284	3265	3944167	Aquatic	Environmental	Environmental
NC_010475	Synechococcus sp. PCC 7002	32049	PRJNA59137	59137	Cyanobacteria	Oscillatoriophycideae	249957	198633	253733	201760	61783	81420	34290	60534	32246	47615	59860	89146	220491	172933	222997	177200	55463	70690	29856	52470	27578	39645	53604	79978	49.63	45314	45227	45137	44906	2824	3008047	Aquatic	Host-associated	Environmental
NC_016944	Vibrio cholerae IEC224	1134456	PRJNA89389	89389	Proteobacteria	Gammaproteobacteria	295045	228942	297102	211283	70267	91629	45626	70780	43410	74316	73662	60172	189313	144648	179902	138920	46224	54495	23297	48778	27813	41671	40534	48646	47.66	54390	55735	51955	47176	2635	3007450	NA	Host-associated	Host-associated
NC_015662	Buchnera aphidicola (Cinara tujafilina)	261317	PRJNA68101	68101	Proteobacteria	Gammaproteobacteria	45210	34017	24456	17203	16614	21552	1716	2027	7645	9199	1789	908	41602	25100	17840	14172	14879	15460	865	2629	7197	5811	844	1136	23.03	24525	28588	8161	7002	360	444925	HostAssociated	Host-associated	Host-associated
NC_010424	Candidatus Desulforudis audaxviator MP104C	477974	PRJNA59067	59067	Firmicutes	Clostridia	249343	227046	350226	210339	37750	37466	61375	130803	21817	34925	139815	113446	54323	48838	71126	47752	8656	8146	11952	28017	5403	7320	25769	26925	60.85	45960	45964	73078	65209	2157	2349476	Specialized	Environmental	Environmental
NC_007948	Polaromonas sp. JS666	296591	PRJNA58207	58207	Proteobacteria	Betaproteobacteria	392092	346663	530728	375725	43049	64412	88338	182228	30773	50321	199535	210181	307848	266589	407346	300285	36670	43592	62672	152347	27335	31329	149127	175706	62.47	69631	71844	120256	115137	4817	5200264	Multiple	Environmental	Environmental
NC_011901	Thioalkalivibrio sulfidophilus HL-EbGr7	396588	PRJNA59179	59179	Proteobacteria	Gammaproteobacteria	261773	234156	375696	245198	17725	31636	68848	145124	14058	26514	137863	159423	192395	167488	262294	185670	15496	18372	44729	112446	12185	14299	93414	123533	65.06	45945	47296	88863	84640	3284	3464554	Specialized	NA	Engineered
NC_002967	Treponema denticola ATCC 35405	243275	PRJNA57583	57583	Spirochaetes	Spirochaetia	339141	247536	253694	168832	97996	115091	41583	46080	52190	74578	29250	47121	229944	161341	166143	114059	69787	68774	23553	36505	40287	41247	19336	34215	37.87	33392	32657	20323	18316	2767	2843201	HostAssociated	Host-associated	Host-associated
NC_010002	Delftia acidovorans SPH-1	398578	PRJNA58703	58703	Proteobacteria	Betaproteobacteria	474939	423921	695092	499191	33720	53875	120564	257887	28877	38782	265605	313429	409276	358703	587121	443294	30458	41887	98844	228699	28846	28233	219689	280729	66.48	86855	88598	173404	169195	6040	6767514	Multiple	NA	Engineered
NC_007929	Lactobacillus salivarius UCC118	362948	PRJNA58233	58233	Firmicutes	Bacilli	283302	186635	213792	125858	98005	111524	26945	27246	64604	70036	11047	9645	59278	41635	39943	30349	18794	22571	3706	7602	10392	18945	1282	3606	32.94	58049	51628	31058	22859	1717	1827111	HostAssociated	Host-associated	Host-associated
NC_004193	Oceanobacillus iheyensis HTE831	221109	PRJNA57867	57867	Firmicutes	Bacilli	499766	352942	402860	253511	164118	187512	47064	57342	124370	107814	46078	29567	150630	111630	113344	80210	47632	54801	11104	21259	36778	33238	10590	12365	35.68	117855	109377	70426	55946	3500	3630528	Multiple	Environmental	Environmental
NC_009883	Rickettsia bellii OSU 85-389	391896	PRJNA58681	58681	Proteobacteria	Alphaproteobacteria	160278	103420	102446	68255	51723	61325	13804	14688	27067	36748	8327	7311	130071	84317	78089	54887	41711	49090	9681	13871	21433	28045	5567	7056	31.63	77676	77759	36101	34225	1475	1528980	NA	Host-associated	Host-associated
NC_014920	Haemophilus influenzae F3031	866630	PRJNA62123	62123	Proteobacteria	Gammaproteobacteria	174909	127802	150182	107159	59292	69175	13654	21857	34094	46635	20901	19632	163497	116650	136733	99655	55464	62225	11284	21782	32424	40687	18121	20233	38.22	58675	60339	37379	36214	1774	1985832	NA	Host-associated	Host-associated
NC_008146	Mycobacterium sp. MCS	164756	PRJNA58465	58465	Actinobacteria	Actinobacteria	424314	396692	688523	485033	29251	35722	96683	250069	33381	40586	276785	294528	297078	283264	482455	347520	20356	23800	64774	180286	24285	25273	194029	214309	68.45	27826	27432	59388	58064	5391	5705448	NA	Environmental	Environmental
NC_015214	Lactobacillus acidophilus 30SC	891391	PRJNA63605	63605	Firmicutes	Bacilli	297058	193094	226706	150419	77683	95097	40938	48472	48646	81419	18034	27674	98603	66098	70527	50534	26215	29852	10848	18904	14877	25902	4907	11612	38.15	50736	49796	32154	28247	2037	2078001	NA	Host-associated	Host-associated
NC_016629	Desulfovibrio africanus str. Walvis Bay	690850	PRJNA66847	66847	Proteobacteria	delta/epsilon subdivisions	284029	249564	370203	250913	28930	41972	78299	130012	22003	34864	115289	156535	278255	246411	356090	252248	31157	37197	68837	132515	24374	31323	108269	160448	61.42	84288	85416	138107	132897	3746	4200534	NA	Environmental	Environmental
NC_015460	Gallibacterium anatis UMN179	1005058	PRJNA66567	66567	Proteobacteria	Gammaproteobacteria	283672	205199	243361	169701	89646	115310	35111	36688	49256	63805	43787	34042	198087	141680	160813	122086	63847	73576	17773	30577	31809	45378	24697	30991	39.88	45916	45793	30976	27559	2494	2687323	NA	Environmental	Host-associated
NC_010531	Polynucleobacter necessarius subsp. necessarius STIR1	452638	PRJNA58967	58967	Proteobacteria	Betaproteobacteria	145518	115327	153650	107216	32295	51901	29100	25936	28573	48012	20576	29499	75236	58396	73226	56352	18706	23606	10050	16586	15935	19646	8926	19838	45.56	70256	74926	65358	57065	1508	1560469	HostAssociated	Host-associated	Host-associated
NC_009033	Staphylothermus marinus F1	399550	PRJNA58719	58719	Crenarchaeota	Thermoprotei	163089	121194	127927	76023	54526	51672	20807	26829	40988	36739	9690	11852	124554	93271	100504	57937	41952	39847	16395	20801	31442	28381	7662	8964	35.73	37433	36545	20833	19978	1573	1570485	Specialized	NA	NA
NC_008312	Trichodesmium erythraeum IMS101	203124	PRJNA57925	57925	Cyanobacteria	Oscillatoriophycideae	481868	335892	383147	265271	162784	187602	51982	64913	100958	131421	32674	40556	485068	339579	387720	266803	165194	190625	54211	64914	100108	133265	34151	40133	34.14	928515	926458	476956	480678	4451	7750108	Aquatic	Host-associated	Environmental
