Organism	Acc
Neisseria meningitidis MC58	NC_003112
Neorickettsia sennetsu Miyayama	NA
Nitrosococcus oceani ATCC 19707	NC_007484
Nitrosomonas europaea	NC_004757
Nitrosomonas eutropha C71	NC_008344
Nostoc sp	NA
Orientia tsutsugamushi Boryong	NC_009488
Parabacteroides distasonis ATCC 8503	NC_009615
Parachlamydia sp UWE25	NC_005861
Pasteurella multocida	NC_002663
Pelobacter propionicus DSM 2379	NC_008609
Pelodictyon luteolum DSM 273	NC_007512
Photobacterium profundum SS9	NC_006370
Photorhabdus luminescens	NC_005126
Polaromonas naphthalenivorans CJ2	NC_008781
Polynucleobacter QLW-P1DMWA-1	NC_009379
Porphyromonas gingivalis W83	NC_002950
Prochlorococcus marinus CCMP1375	NC_005042
Prosthecochloris vibrioformis DSM 265	NC_009337
Pseudoalteromonas atlantica T6c	NC_008228
Pseudoalteromonas haloplanktis TAC125	NC_007481
Psychrobacter arcticum 273-4	NC_007204
Psychrobacter cryohalolentis K5	NC_007969
Psychrobacter PRwf-1	NC_009524
Psychromonas ingrahamii 37	NC_008709
Rhodospirillum rubrum ATCC 11170	NC_007643
Rickettsia bellii RML369-C	NC_007940
Rickettsia conorii	NC_003103
Rickettsia felis URRWXCal2	NC_007109
Rickettsia prowazekii	NC_000963
Rickettsia typhi wilmington	NC_006142
Roseiflexus RS-1	NC_009523
Salinibacter ruber DSM 13855	NC_007677
Salmonella enterica Choleraesuis	NC_003197
Salmonella enterica Paratypi ATCC 9150	NC_003197
Salmonella typhimurium LT2	NC_003197
Shewanella ANA-3	NC_008577
Shewanella baltica OS155	NC_009052
Shewanella denitrificans OS217	NC_007954
Shewanella frigidimarina NCIMB 400	NC_008345
Shewanella MR-4	NC_008321
Shewanella MR-7	NC_008322
Shewanella oneidensis	NC_004347
Shewanella putrefaciens CN-32	NC_009438
Shewanella W3-18-1	NC_008750
Shigella boydii Sb227	NC_007613
Shigella dysenteriae	NC_007606
Shigella flexneri 2a	NC_004337
Shigella sonnei Ss046	NC_007384
Sodalis glossinidius morsitans	NC_007712
Synechococcus CC9311	NC_008319
Synechococcus CC9605	NC_007516
Synechococcus CC9902	NC_007513
Synechococcus elongatus PCC 6301	NC_006576
Synechococcus elongatus PCC 7942	NC_007604
Synechococcus RCC307	NC_009482
Synechococcus sp WH8102	NC_005070
Synechococcus WH 7803	NC_009481
Synechocystis PCC6803	NC_000911
Syntrophus aciditrophicus SB	NC_007759
Thermobifida fusca YX	NC_007333
Thermosynechococcus elongatus	NA
Thermus thermophilus HB27	NC_005835
Thiomicrospira crunogena XCL-2	NC_007520
Thiomicrospira denitrificans ATCC 33889	NC_007575
Treponema denticola ATCC 35405	NC_002967
Treponema pallidum	NC_000919
Trichodesmium erythraeum IMS101	NC_008312
Tropheryma whipplei TW08 27	NC_004551
Verminephrobacter eiseniae EF01-2	NC_008786
Vibrio cholerae O395	NC_009457
Vibrio fischeri ES114	NC_011184
Wigglesworthia brevipalpis	NC_004344
Wolbachia endosymbiont of Brugia malayi TRS	NC_002978
Wolbachia endosymbiont of Drosophila melanogaster	NC_002978
Wolinella succinogenes	NC_005090
Xylella fastidiosa	NC_002488
Yersinia enterocolitica 8081	NC_008800
Yersinia pestis Pestoides F	NC_009381
Yersinia pseudotuberculosis IP32953	NC_006155
Zymomonas mobilis ZM4	NC_006526
