acc	quantile	meanTaiLe	ATle1	GCle1	ATle2	GCle2	ATle4	GCle4	meanTaiLa	ATla1	GCla1	ATla2	GCla2	ATla4	GCla4
NC_013714	4	0.45284978	0.114197075	0.18383175	-0.23940083	-0.28381902	-0.2760437	-0.14688694	0.44641578	0.1211727	0.15693979	-0.2365019	-0.34706157	-0.04527066	-0.1498767
NC_013714	5	0.4771215	0.14214016	0.18830433	-0.22487119	-0.2559225	-0.43625277	-0.25979665	0.47102812	0.11724138	0.17765643	-0.22420357	-0.3044925	-0.15143247	-0.22625905
NC_013715	1	0.39763057	0.099246606	0.16228525	-0.22951233	-0.3405362	-0.34355402	-0.105235286	0.36688313	0.15176246	0.1642112	-0.15067925	-0.44157374	-0.20820165	-0.19724645
NC_013715	2	0.4424035	0.051973924	0.12412802	-0.32874513	-0.2733572	-0.53496504	-0.018482866	0.4161059	0.021016888	0.19024456	-0.37959182	-0.33458015	-0.39471123	-0.02287823
NC_013715	3	0.46350628	0.089340165	0.1285335	-0.23438586	-0.27712774	-0.5391774	-0.09258727	0.44300064	0.060363248	0.09573603	-0.53509164	-0.18491052	-0.6096607	0.053201683
NC_013715	4	0.48186517	0.13089898	0.14365527	-0.059592344	-0.25876737	-0.5268001	-0.20071529	0.46527177	0.06701892	0.09709951	-0.34526855	-0.27312797	-0.5067856	-0.1066012
NC_013715	5	0.51158154	0.17116775	0.14356773	0.26226994	-0.25268346	-0.3202191	-0.40753248	0.4962924	0.12538588	0.13613708	0	-0.30229616	-0.4003044	-0.31545871
NC_012912	1	0.2738301	0.0553855	0.16990758	-0.29690915	-0.22679828	-0.161035	0.23137715	0.27602682	0.10111876	0.11441794	-0.15135196	-0.36296228	-0.032208335	0.03607423
NC_012912	2	0.30448616	0.052643627	0.16547951	-0.32618037	-0.27709064	-0.22354192	0.2619139	0.31299978	0.07861533	0.11064024	-0.18349646	-0.42158455	-0.07360949	0.027808676
NC_012912	3	0.32128176	0.057423506	0.16895041	-0.30040362	-0.31161264	-0.26708326	0.23738447	0.33189097	0.07510228	0.12876387	-0.16879499	-0.44074365	-0.13780175	0.056689795
NC_012912	4	0.33898386	0.09786854	0.19128206	-0.25192234	-0.35564384	-0.347558	0.20260765	0.348689	0.10992963	0.14514671	-0.13278712	-0.46717882	-0.18789831	0.021914849
NC_012912	5	0.37315625	0.15566383	0.20987535	-0.058693584	-0.36951202	-0.5054518	0.1249535	0.37864214	0.15063903	0.18198012	0.020717097	-0.4947974	-0.32384548	-0.025617316
NC_012913	1	0.17362925	0.11072081	0.16197906	-0.19872689	-0.11111111	-0.1723758	0.12751119	0.18023427	0.150482	0.12407049	-0.09793233	-0.33181766	-0.05921309	-0.10006456
NC_012913	2	0.1938825	0.12178974	0.15594319	-0.17936134	-0.10227883	-0.219785	0.057879377	0.19978866	0.13113321	0.11885548	-0.08774971	-0.3676828	-0.09239441	-0.1320492
NC_012913	3	0.20475957	0.1350278	0.16203289	-0.12944293	-0.11226303	-0.24489269	0.037123356	0.2105898	0.17166884	0.13014139	-0.03261796	-0.38219318	-0.120189555	-0.18883392
NC_012913	4	0.21519502	0.14418373	0.17903732	-0.0915405	-0.15975088	-0.27522433	0.011414551	0.22096626	0.16548282	0.16662447	-0.00089292356	-0.42335373	-0.16239317	-0.22692645
NC_012913	5	0.23560585	0.17454372	0.21129903	0.047476303	-0.327547	-0.30549395	-0.054864556	0.23965049	0.18105116	0.18730181	0.09032795	-0.53797466	-0.20280732	-0.26606455
NC_012914	1	0.30775955	0.06786669	0.2041672	-0.18468714	-0.16891053	-0.10505743	0.15414491	0.31059355	0.051710486	0.15136448	-0.15679228	-0.26787215	-0.1322864	-0.029322643
NC_012914	2	0.33582053	0.10447644	0.2002982	-0.19125763	-0.1707963	-0.12871388	0.15841705	0.33919203	0.08828976	0.14188732	-0.17294662	-0.28126463	-0.15741265	-0.037415195
NC_012914	3	0.35139933	0.117565535	0.19540541	-0.19591454	-0.1923266	-0.13399623	0.1634874	0.3554781	0.11337492	0.14677909	-0.15394016	-0.2814692	-0.15369506	-0.04213208
NC_012914	4	0.3702977	0.14518467	0.19735043	-0.18366373	-0.2258271	-0.13310382	0.13850762	0.37232086	0.1271105	0.15448648	-0.119790636	-0.32015067	-0.17314865	-0.046926938
NC_012914	5	0.4138131	0.18972552	0.19701765	-0.020736422	-0.3218899	-0.18700965	0.081127666	0.41187996	0.18316273	0.17373618	-0.0025143102	-0.3977344	-0.18038052	-0.075075515
NC_013716	1	0.30657607	0.09372482	0.16026765	-0.19204733	-0.2852515	-0.12931253	0.15883775	0.3107419	0.124138765	0.14507261	-0.14444827	-0.33557734	-0.101312175	0.08263094
NC_013716	2	0.34711513	0.07251253	0.1729844	-0.24296659	-0.3742459	-0.21024993	0.17632052	0.3532579	0.07463551	0.14589779	-0.19508436	-0.4203121	-0.20150316	0.09644211
NC_013716	3	0.36619973	0.0785367	0.17909925	-0.21508372	-0.39762086	-0.287989	0.16080348	0.3729849	0.08569149	0.15678798	-0.18879023	-0.45228747	-0.2609999	0.080963366
NC_013716	4	0.38379666	0.10271293	0.17997245	-0.14997423	-0.4186817	-0.3508032	0.13603558	0.38990074	0.08991724	0.1659995	-0.1230466	-0.4519999	-0.27035454	0.068138726
NC_013716	5	0.4184448	0.17273197	0.20466085	0.02672599	-0.42449325	-0.49284765	0.069035	0.42133293	0.16174285	0.1878354	0.029734945	-0.4575785	-0.4245109	0.010558595
NC_003028	1	0.23010476	0.07386788	0.19400665	-0.24925862	0.03066892	-0.15452813	-0.101702094	0.22789876	0.08730159	0.058169577	-0.15872742	-0.33846155	-0.15764482	-0.3892261
NC_003028	2	0.25095597	0.133052	0.19881362	-0.20203537	0.06254925	-0.16702503	-0.1126553	0.24803223	0.1281198	0.10148014	-0.11005943	-0.22485586	-0.18013245	-0.4039146
NC_003028	3	0.26439553	0.1621377	0.17424105	-0.18195266	0.039097298	-0.10662506	-0.104604706	0.26222244	0.13688418	0.121442564	-0.085677914	-0.28880346	-0.15816768	-0.41819373
NC_003028	4	0.28057536	0.18227331	0.2008991	-0.13246669	-0.027461886	-0.18656787	-0.17797922	0.27759424	0.20993806	0.13671857	-0.022328358	-0.3189429	-0.2036138	-0.5070902
NC_003028	5	0.31389192	0.21584576	0.19517487	0.056911092	-0.1908552	-0.19849761	-0.2822158	0.30823797	0.20985603	0.15516676	0.1284375	-0.44579586	-0.24184345	-0.5783685
NC_009882	1	0.29532897	0.15626472	0.19014657	-0.14926773	-0.022560203	-0.1743024	0.15950659	0.2972544	0.11554287	0.15820543	-0.15177797	-0.30226365	-0.12046574	-0.0014619883
NC_009882	2	0.31700575	0.17729917	0.19934459	-0.124923825	-0.034563757	-0.17562725	0.11132484	0.32277045	0.16625439	0.14798628	-0.11191388	-0.2672628	-0.1387808	-0.08371736
NC_009882	3	0.32673743	0.19179443	0.19820735	-0.09885977	-0.032208823	-0.18771186	0.094396554	0.3348297	0.18209511	0.15899773	-0.106522955	-0.3069513	-0.111166686	-0.08323564
NC_009882	4	0.3381618	0.22598009	0.19847329	-0.059250303	-0.06022122	-0.14962152	0.06996587	0.34599486	0.22161373	0.15500383	-0.04454101	-0.2718617	-0.11759128	-0.14084508
NC_009882	5	0.3598045	0.2658558	0.20368291	0.0223698	-0.10419069	-0.16451466	-0.025230769	0.36775452	0.2696971	0.14868207	0.04262607	-0.2970259	-0.09187046	-0.21140142
NC_009881	1	0.4367346	0.16325337	0.19314626	-0.14344685	-0.0127423825	-0.1537118	0.183714	0.44163662	0.13782871	0.15154666	-0.14236616	-0.22644928	-0.117218696	0.037749816
NC_009881	2	0.46966228	0.16914931	0.20003207	-0.13956071	-0.06833856	-0.18336935	0.15301318	0.47927272	0.17357185	0.15608537	-0.11383345	-0.23902671	-0.11242022	0.0085007725
NC_009881	3	0.48552704	0.18561947	0.20885935	-0.09896159	-0.04465536	-0.19226019	0.11600264	0.49552926	0.1883158	0.15526496	-0.105673134	-0.24824356	-0.12881806	-0.10296684
NC_009881	4	0.5010018	0.2092546	0.18694903	-0.06616102	-0.0833153	-0.16748358	0.04225352	0.5092548	0.23442788	0.16489409	-0.047160596	-0.25192097	-0.1121783	-0.09207161
NC_009881	5	0.53147364	0.25357085	0.21076234	0.007871064	-0.1269716	-0.1425926	-0.010256411	0.5386797	0.25535884	0.17363836	0.018390307	-0.32943633	-0.06749136	-0.16851008
NC_013720	1	0.39627764	0.10400533	0.14122328	-0.25084692	-0.34972113	-0.205051	-0.10820161	0.39896926	0.09557243	0.11687965	-0.16624857	-0.40243793	-0.15336813	-0.15440364
NC_013720	2	0.41000795	0.10993605	0.12663658	-0.18964994	-0.33701634	-0.20607856	-0.09506278	0.410671	0.11231478	0.10983807	-0.1401432	-0.3868072	-0.16221105	-0.11403639
NC_013720	3	0.41584718	0.099414535	0.12857728	-0.15511988	-0.32134947	-0.19438405	-0.05729071	0.41650778	0.10948823	0.10915682	-0.098399095	-0.38727394	-0.15975085	-0.094193
NC_013720	4	0.42149615	0.10031354	0.12746616	-0.13781771	-0.30537483	-0.16367447	-0.035755213	0.42192602	0.11580376	0.10752672	-0.04562143	-0.34691808	-0.15082484	-0.08082212
NC_013720	5	0.43082902	0.093569726	0.13162689	-0.11748381	-0.2698739	-0.113561295	0.045134537	0.431372	0.098013036	0.102656454	-0.042200923	-0.32731453	-0.08109191	-0.0057243914
NC_009883	1	0.30404148	0.1472371	0.20933358	-0.14024074	0.020962268	-0.136563	0.110320285	0.30506974	0.14900549	0.1854803	-0.13030644	-0.12478464	-0.10803182	-0.033834588
NC_009883	2	0.3220241	0.18034418	0.18900199	-0.12301697	-0.034397654	-0.16604595	0.11728229	0.32705387	0.18593507	0.16339959	-0.11579584	-0.17722918	-0.1549191	-0.06924643
NC_009883	3	0.3322312	0.22704142	0.20785782	-0.083858535	-0.019498607	-0.14126259	0.097103916	0.33873647	0.22185105	0.1693989	-0.08682023	-0.15601732	-0.13980825	-0.09780831
NC_009883	4	0.34243658	0.24709415	0.19604558	-0.07198748	-0.037488844	-0.15539859	0.0049532196	0.34880427	0.24172033	0.16899133	-0.063927814	-0.21349207	-0.119142525	-0.16368939
NC_009883	5	0.36237678	0.27766716	0.20359972	0.0041147494	-0.10167715	-0.15506616	-0.04533877	0.370275	0.2703204	0.19502392	0.0010073392	-0.22920518	-0.1415119	-0.26586622
NC_013722	1	0.45237806	0.06344121	0.15092915	-0.3240921	-0.26038063	-0.11128639	0.057390712	0.45496762	0.10178635	0.119997606	-0.18188177	-0.40846238	0.095261455	-0.076017134
NC_013722	2	0.51431346	0.05862183	0.15041438	-0.4617528	-0.2810975	-0.23295313	0.07470068	0.51761717	0.07594058	0.11524316	-0.2552656	-0.4492722	0.10940263	-0.029406592
NC_013722	3	0.5361186	0.06738842	0.16786142	-0.48273745	-0.29679006	-0.3455184	0.059027437	0.5392495	0.094304234	0.12256178	-0.13656326	-0.49250367	0.17841956	-0.085173965
NC_013722	4	0.5533515	0.04513697	0.16928984	-0.44102913	-0.26143596	-0.37111393	0.06742256	0.5587742	0.06532748	0.14077187	-0.09905864	-0.49548846	0.20315537	-0.077313714
NC_013722	5	0.57593066	0.08576171	0.18815084	-0.32554764	-0.2573504	-0.40429485	0.023592964	0.58137566	0.06928334	0.16028056	-0.011856091	-0.46619606	0.1724236	-0.07537709
NC_013721	1	0.3586123	0.11744081	0.1719359	-0.19998257	-0.080317356	-0.28811303	0.19098099	0.35399422	0.14266986	0.10475037	-0.06092991	-0.4136246	-0.05514032	-0.04160401
NC_013721	2	0.38487104	0.1302122	0.1668124	-0.2107236	-0.041088484	-0.3177388	0.15257679	0.38198262	0.19376537	0.11551696	-0.051068757	-0.335803	-0.12347676	-0.12303565
NC_013721	3	0.4025326	0.14395314	0.17272581	-0.21663302	-0.04449885	-0.36572006	0.15064102	0.39792714	0.14863653	0.14772727	-0.09582833	-0.33117035	-0.1372847	-0.12765136
NC_013721	4	0.4187344	0.16980727	0.17181367	-0.23829393	0.008804205	-0.39553675	0.054018445	0.4145921	0.20297547	0.1326283	-0.09750975	-0.2590651	-0.1636124	-0.13866666
NC_013721	5	0.45108882	0.18908249	0.16582055	-0.26562142	0.046632126	-0.4521251	-0.14282803	0.44905964	0.26150036	0.13762972	-0.095509894	-0.16168289	-0.26003233	-0.25603357
NC_009480	1	0.7224608	-0.0031776999	0.13896374	-0.24454951	-0.40241516	-0.00095251057	-0.17945942	0.7167441	-0.008033561	0.13192007	-0.18026264	-0.44719285	0.12162706	-0.20740229
NC_009480	2	0.7836959	-0.0059620473	0.13333473	-0.3919355	-0.38970235	0.033097595	-0.23295826	0.77920216	-0.018328087	0.11918476	-0.37148803	-0.43151492	0.16503268	-0.2101681
NC_009480	3	0.80015266	0.0025570523	0.13327482	-0.4013346	-0.36155587	0.071601525	-0.2325814	0.7984465	-0.012298026	0.120157935	-0.38785625	-0.3995457	0.16264237	-0.22815622
NC_009480	4	0.8109398	0.019511145	0.12862436	-0.30218068	-0.3259949	0.06364701	-0.2080537	0.8104091	-0.00080147356	0.13133053	-0.35285506	-0.3814691	0.15542857	-0.1947147
NC_009480	5	0.8259877	0.0004154204	0.119919494	-0.32129964	-0.33066675	0.098890945	-0.11079776	0.82593924	-0.011401918	0.12308319	-0.26537216	-0.35781935	0.17246597	-0.09562885
NC_009482	1	0.55663764	0.080128774	0.13193597	-0.30368873	-0.07100473	-0.3410997	-0.13723023	0.5700814	0.15560184	0.15537152	-0.07879334	-0.28770405	-0.038720194	-0.19631034
NC_009482	2	0.60632247	0.07484074	0.14896458	-0.40246102	-0.10820544	-0.45066923	-0.13792044	0.62286496	0.13078187	0.16841017	-0.09673416	-0.31915742	-0.20870887	-0.20889996
NC_009482	3	0.62652844	0.07059758	0.15518296	-0.3858795	-0.13739897	-0.49274543	-0.13465688	0.64432883	0.10900965	0.16900481	-0.08870083	-0.34218928	-0.17141262	-0.18297096
NC_009482	4	0.6442266	0.023858413	0.14771718	-0.41757566	-0.15515016	-0.41937333	-0.07203312	0.6633497	0.082021125	0.16972005	-0.10767783	-0.38562542	-0.14364073	-0.15200564
NC_009482	5	0.6811285	-0.11525791	0.16684492	-0.51970595	-0.23173682	-0.40911946	0.0040807785	0.6970289	-0.047603697	0.18518518	-0.18458253	-0.4451869	-0.10483871	-0.07519634
NC_009481	1	0.36911052	0.04791917	0.1295236	-0.31623644	-0.1265278	-0.31108668	-0.043128405	0.37423563	0.10839933	0.13564497	-0.071014985	-0.31332546	-0.054141268	-0.15043037
NC_009481	2	0.40517023	0.060148656	0.1467982	-0.3759549	-0.15932173	-0.38320717	-0.06109854	0.41145787	0.098401226	0.13293041	-0.085487686	-0.3339451	-0.10145154	-0.13722911
NC_009481	3	0.42096996	0.031290364	0.14417182	-0.36287764	-0.21562015	-0.39201826	-0.031776894	0.43022385	0.09731043	0.14771087	-0.076984696	-0.36787692	-0.12375953	-0.14070891
NC_009481	4	0.43649986	0.023317726	0.1523636	-0.38846317	-0.23226027	-0.39328814	-0.016265148	0.44885805	0.08390078	0.15240057	-0.11849641	-0.41879508	-0.12655462	-0.14717121
NC_009481	5	0.46780735	-0.10215384	0.16166687	-0.45443004	-0.33744833	-0.41850615	0.03376027	0.47666323	-0.034536295	0.15681255	-0.16758211	-0.48397437	-0.08917461	-0.06776398
NC_011094	1	0.2912986	0.04997154	0.16367689	-0.2608747	-0.259068	-0.14798003	0.19079061	0.30089974	0.06331201	0.11330175	-0.20779456	-0.38708916	-0.07414994	0.022014434
NC_011094	2	0.3267207	0.07418871	0.16545579	-0.24719161	-0.30608055	-0.19207731	0.18273681	0.33501968	0.054426488	0.12060055	-0.20622201	-0.42330065	-0.13513182	0.051024906
NC_011094	3	0.34611857	0.10659611	0.16709587	-0.24011233	-0.31522492	-0.23209913	0.17516452	0.35344216	0.08602105	0.14237335	-0.19979599	-0.42271584	-0.1870472	0.017418185
NC_011094	4	0.36632413	0.11140634	0.18962225	-0.1932866	-0.36449865	-0.28473088	0.15891626	0.37185234	0.12720644	0.15918818	-0.1462479	-0.4292532	-0.24733905	0.011239886
NC_011094	5	0.40594962	0.16445878	0.20789313	-0.010244203	-0.40890673	-0.4625814	0.12286422	0.4061619	0.16629562	0.19313061	-0.011861003	-0.46837226	-0.3599085	-0.011995104
