"abbreviation"	"name"	"equation"	"reversible"	"compartment"	"lowbnd"	"uppbnd"	"obj_coef"	"rule"	"subsystem"
"EX_14glucan(e)"	"1,4-alpha-D-glucan exchange"	"[e] : 14glucan <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_15dap(e)"	"1,5-Diaminopentane exchange"	"[e] : 15dap <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_23camp(e)"	"2',3'-Cyclic AMP exchange"	"[e] : 23camp <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_23ccmp(e)"	"2',3'-Cyclic CMP exchange"	"[e] : 23ccmp <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_23cgmp(e)"	"2',3'-Cyclic GMP exchange"	"[e] : 23cgmp <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_23cump(e)"	"2',3'-Cyclic UMP exchange"	"[e] : 23cump <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_23dappa(e)"	"2,3-diaminopropionate exchange"	"[e] : 23dappa <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_26dap_M(e)"	"meso-2,6-Diaminoheptanedioate exchange"	"[e] : 26dap_DASH_M <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_2ddglcn(e)"	"2-Dehydro-3-deoxy-D-gluconate exchange"	"[e] : 2ddglcn <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_34dhpac(e)"	"3,4-Dihydroxyphenylacetaldehyde exchange"	"[e] : 34dhpac <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_3amp(e)"	"3'-AMP exchange"	"[e] : 3amp <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_3cmp(e)"	"3'-cmp exchange"	"[e] : 3cmp <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_3gmp(e)"	"3'-GMP exchange"	"[e] : 3gmp <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_3hcinnm(e)"	"3-hydroxycinnamic acid exchange"	"[e] : 3hcinnm <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_3hpp(e)"	"3-Hydroxypropanoate exchange"	"[e] : 3hpp <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_3hpppn(e)"	"3-(3-hydroxy-phenyl)propionate exchange"	"[e] : 3hpppn <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_3ump(e)"	"3'-UMP exchange"	"[e] : 3ump <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_4abut(e)"	"4-Aminobutanoate exchange"	"[e] : 4abut <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_4hoxpacd(e)"	"4-Hydroxyphenylacetaldehyde exchange"	"[e] : 4hoxpacd <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_5dglcn(e)"	"5-Dehydro-D-gluconate exchange"	"[e] : 5dglcn <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_5mtr(e)"	"5-Methylthio-D-ribose exchange"	"[e] : 5mtr <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_LalaDglu(e)"	"L-alanine-D-glutamate exchange"	"[e] : LalaDglu <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_LalaDgluMdap(e)"	"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate exchange"	"[e] : LalaDgluMdap <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_LalaDgluMdapDala(e)"	"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine exchange"	"[e] : LalaDgluMdapDala <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_LalaLglu(e)"	"L-alanine-L-glutamate exchange"	"[e] : LalaLglu <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_ac(e)"	"Acetate exchange"	"[e] : ac <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_acac(e)"	"Acetoacetate exchange"	"[e] : acac <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_acald(e)"	"Acetaldehyde exchange"	"[e] : acald <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_acgal(e)"	"N-Acetyl-D-galactosamine exchange"	"[e] : acgal <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_acgal1p(e)"	"N-Acetyl-D-galactosamine 1-phosphate exchange"	"[e] : acgal1p <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_acgam(e)"	"N-Acetyl-D-glucosamine exchange"	"[e] : acgam <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_acgam1p(e)"	"N-Acetyl-D-glucosamine 1-phosphate exchange"	"[e] : acgam1p <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_acmana(e)"	"N-Acetyl-D-mannosamine exchange"	"[e] : acmana <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_acmum(e)"	"N-Acetylmuramate exchange"	"[e] : acmum <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_acnam(e)"	"N-Acetylneuraminate exchange"	"[e] : acnam <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_acolipa(e)"	"4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A exchange"	"[e] : acolipa <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_acser(e)"	"O-Acetyl-L-serine exchange"	"[e] : acser <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_ade(e)"	"Adenine exchange"	"[e] : ade <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_adn(e)"	"Adenosine exchange"	"[e] : adn <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_adocbl(e)"	"Adenosylcobalamin exchange"	"[e] : adocbl <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_ag(e)"	"silver exchange"	"[e] : ag <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_agm(e)"	"Agmatine exchange"	"[e] : agm <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_akg(e)"	"2-Oxoglutarate exchange"	"[e] : akg <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_ala_B(e)"	"beta-Alanine exchange"	"[e] : ala_DASH_B <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_ala_D(e)"	"D-Alanine exchange"	"[e] : ala_DASH_D <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_ala_L(e)"	"L-Alanine exchange"	"[e] : ala_DASH_L <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_alaala(e)"	"D-Alanyl-D-alanine exchange"	"[e] : alaala <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_all_D(e)"	"D-Allose exchange"	"[e] : all_DASH_D <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_alltn(e)"	"Allantoin exchange"	"[e] : alltn <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_amp(e)"	"AMP exchange"	"[e] : amp <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_anhgm(e)"	"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid exchange"	"[e] : anhgm <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_arab_L(e)"	"L-Arabinose exchange"	"[e] : arab_DASH_L <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_arbt(e)"	"Arbutin exchange"	"[e] : arbt <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_arbtn(e)"	"aerobactin minus Fe3 exchange"	"[e] : arbtn <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_arbtn_fe3(e)"	"Aerobactin exchange"	"[e] : arbtn_DASH_fe3 <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_arg_L(e)"	"L-Arginine exchange"	"[e] : arg_DASH_L <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_ascb_L(e)"	"L-Ascorbate exchange"	"[e] : ascb_DASH_L <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_asn_L(e)"	"L-Asparagine exchange"	"[e] : asn_DASH_L <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_aso3(e)"	"arsenite exchange"	"[e] : aso3 <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_asp_L(e)"	"L-Aspartate exchange"	"[e] : asp_DASH_L <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_btn(e)"	"Biotin exchange"	"[e] : btn <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_but(e)"	"Butyrate (n-C4:0) exchange"	"[e] : but <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_butso3(e)"	"butanesulfonate exchange"	"[e] : butso3 <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_ca2(e)"	"Calcium exchange"	"[e] : ca2 <==> "	"Reversible"	"e"	-1000	1000	0	""	"Exchange"
"EX_cbi(e)"	"Cobinamide exchange"	"[e] : cbi <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_cbl1(e)"	"Cob(I)alamin exchange"	"[e] : cbl1 <==> "	"Reversible"	"e"	-0.01	1000	0	""	"Exchange"
"EX_cd2(e)"	"Cadmium exchange"	"[e] : cd2 <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_cgly(e)"	"Cys-Gly exchange"	"[e] : cgly <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_chol(e)"	"Choline exchange"	"[e] : chol <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_chtbs(e)"	"chitobiose exchange"	"[e] : chtbs <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_cit(e)"	"Citrate exchange"	"[e] : cit <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_cl(e)"	"Chloride exchange"	"[e] : cl <==> "	"Reversible"	"e"	-1000	1000	0	""	"Exchange"
"EX_cm(e)"	"Chloramphenicol exchange"	"[e] : cm <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_cmp(e)"	"CMP exchange"	"[e] : cmp <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_co2(e)"	"CO2 exchange"	"[e] : co2 <==> "	"Reversible"	"e"	-1000	1000	0	""	"Exchange"
"EX_cobalt2(e)"	"Co2+ exchange"	"[e] : cobalt2 <==> "	"Reversible"	"e"	-1000	1000	0	""	"Exchange"
"EX_colipa(e)"	"core oligosaccharide lipid A exchange"	"[e] : colipa <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_colipap(e)"	"core oligosaccharide lipid A diphosphate exchange"	"[e] : colipap <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_cpgn(e)"	"coprogen exchange"	"[e] : cpgn <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_cpgn_un(e)"	"coprogen unloaded (no Fe(III)) exchange"	"[e] : cpgn_DASH_un <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_crn(e)"	"L-Carnitine exchange"	"[e] : crn <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_crn_D(e)"	"D-carnitine exchange"	"[e] : crn_DASH_D <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_csn(e)"	"Cytosine exchange"	"[e] : csn <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_cu(e)"	"Cu+ exchange"	"[e] : cu <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_cu2(e)"	"Cu2+ exchange"	"[e] : cu2 <==> "	"Reversible"	"e"	-1000	1000	0	""	"Exchange"
"EX_cyan(e)"	"Hydrogen cyanide exchange"	"[e] : cyan <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_cynt(e)"	"Cyanate exchange"	"[e] : cynt <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_cys_D(e)"	"D-Cysteine exchange"	"[e] : cys_DASH_D <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_cys_L(e)"	"L-Cysteine exchange"	"[e] : cys_DASH_L <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_cytd(e)"	"Cytidine exchange"	"[e] : cytd <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_dad_2(e)"	"Deoxyadenosine exchange"	"[e] : dad_DASH_2 <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_damp(e)"	"dAMP exchange"	"[e] : damp <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_dca(e)"	"Decanoate (n-C10:0) exchange"	"[e] : dca <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_dcmp(e)"	"dCMP exchange"	"[e] : dcmp <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_dcyt(e)"	"Deoxycytidine exchange"	"[e] : dcyt <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_ddca(e)"	"Dodecanoate (n-C12:0) exchange"	"[e] : ddca <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_dgmp(e)"	"dGMP exchange"	"[e] : dgmp <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_dgsn(e)"	"Deoxyguanosine exchange"	"[e] : dgsn <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_dha(e)"	"Dihydroxyacetone exchange"	"[e] : dha <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_dimp(e)"	"dIMP exchange"	"[e] : dimp <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_din(e)"	"Deoxyinosine exchange"	"[e] : din <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_dms(e)"	"Dimethyl sulfide exchange"	"[e] : dms <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_dmso(e)"	"Dimethyl sulfoxide exchange"	"[e] : dmso <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_dopa(e)"	"Dopamine exchange"	"[e] : dopa <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_doxrbcn(e)"	"doxorubicin exchange"	"[e] : doxrbcn <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_dtmp(e)"	"dTMP exchange"	"[e] : dtmp <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_dump(e)"	"dUMP exchange"	"[e] : dump <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_duri(e)"	"Deoxyuridine exchange"	"[e] : duri <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_eca4colipa(e)"	"(enterobacterial common antigen)x4 core oligosaccharide lipid A exchange"	"[e] : eca4colipa <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_enlipa(e)"	"phosphoethanolamine KDO(2)-lipid (A) exchange"	"[e] : enlipa <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_enter(e)"	"Enterochelin exchange"	"[e] : enter <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_etha(e)"	"Ethanolamine exchange"	"[e] : etha <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_ethso3(e)"	"ethanesulfonate exchange"	"[e] : ethso3 <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_etoh(e)"	"Ethanol exchange"	"[e] : etoh <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_f6p(e)"	"D-fructose 6-phosphate exchange"	"[e] : f6p <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_fald(e)"	"Formaldehyde exchange"	"[e] : fald <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_fe2(e)"	"Fe2+ exchange"	"[e] : fe2 <==> "	"Reversible"	"e"	-1000	1000	0	""	"Exchange"
"EX_fe3(e)"	"Fe3+ exchange"	"[e] : fe3 <==> "	"Reversible"	"e"	-1000	1000	0	""	"Exchange"
"EX_fe3dcit(e)"	"Fe(III)dicitrate exchange"	"[e] : fe3dcit <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_fe3dhbzs(e)"	"ferric 2,3-dihydroxybenzoylserine exchange"	"[e] : fe3dhbzs <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_fe3hox(e)"	"Fe(III)hydroxamate exchange"	"[e] : fe3hox <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_fe3hox_un(e)"	"Fe(III)hydoxamate, unloaded exchange"	"[e] : fe3hox_DASH_un <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_fecrm(e)"	"Ferrichrome exchange"	"[e] : fecrm <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_fecrm_un(e)"	"Ferrichrome minus Fe(III) exchange"	"[e] : fecrm_DASH_un <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_feenter(e)"	"Fe-enterobactin exchange"	"[e] : feenter <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_feoxam(e)"	"ferroxamine exchange"	"[e] : feoxam <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_feoxam_un(e)"	"ferroxamine minus Fe(3) exchange"	"[e] : feoxam_DASH_un <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_for(e)"	"Formate exchange"	"[e] : for <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_fru(e)"	"D-Fructose exchange"	"[e] : fru <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_frulys(e)"	"fructoselysine exchange"	"[e] : frulys <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_fruur(e)"	"D-Fructuronate exchange"	"[e] : fruur <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_fuc_L(e)"	"L-Fucose exchange"	"[e] : fuc_DASH_L <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_fum(e)"	"Fumarate exchange"	"[e] : fum <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_fusa(e)"	"fusidic acid exchange"	"[e] : fusa <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_g1p(e)"	"D-Glucose 1-phosphate exchange"	"[e] : g1p <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_g3pc(e)"	"sn-Glycero-3-phosphocholine exchange"	"[e] : g3pc <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_g3pe(e)"	"sn-Glycero-3-phosphoethanolamine exchange"	"[e] : g3pe <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_g3pg(e)"	"Glycerophosphoglycerol exchange"	"[e] : g3pg <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_g3pi(e)"	"sn-Glycero-3-phospho-1-inositol exchange"	"[e] : g3pi <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_g3ps(e)"	"Glycerophosphoserine exchange"	"[e] : g3ps <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_g6p(e)"	"D-Glucose 6-phosphate exchange"	"[e] : g6p <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_gal(e)"	"D-Galactose exchange"	"[e] : gal <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_gal_bD(e)"	"beta D-Galactose exchange"	"[e] : gal_DASH_bD <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_gal1p(e)"	"alpha-D-Galactose 1-phosphate exchange"	"[e] : gal1p <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_galct_D(e)"	"D-Galactarate exchange"	"[e] : galct_DASH_D <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_galctn_D(e)"	"D-Galactonate exchange"	"[e] : galctn_DASH_D <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_galctn_L(e)"	"L-Galactonate exchange"	"[e] : galctn_DASH_L <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_galt(e)"	"Galactitol exchange"	"[e] : galt <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_galur(e)"	"D-Galacturonate exchange"	"[e] : galur <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
