"abbreviation"	"name"	"equation"	"reversible"	"compartment"	"lowbnd"	"uppbnd"	"obj_coef"	"rule"	"subsystem"
"14GLUCANabcpp"	" 1,4-alpha-D-glucan transport via ABC system (periplasm)"	"14glucan[p] + atp[c] + h2o[c] --> 14glucan[c] + adp[c] + h[c] + pi[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b4035) and (b4032) and (b4033) and (b4034)"	"Transport, Inner Membrane"
"14GLUCANtexi"	" 1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible"	"14glucan[e] --> 14glucan[p]"	"Irreversible"	"C_e, C_p"	0	1000	0	"(b4036)"	"Transport, Outer Membrane"
"23CAMPtex"	" 23cAMP transport via diffusion (extracellular to periplasm)"	"23camp[e] <==> 23camp[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"23CCMPtex"	" 23cCMP transport via diffusion (extracellular to periplasm)"	"23ccmp[e] <==> 23ccmp[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"23CGMPtex"	" 23cGMP transport via diffusion (extracellular to periplasm)"	"23cgmp[e] <==> 23cgmp[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"23CUMPtex"	" 23cUMP transport via diffusion (extracellular to periplasm)"	"23cump[e] <==> 23cump[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"23DAPPAt2pp"	" 2,3-diaminopropionate transport in via proton symport"	"23dappa[p] + h[p] --> 23dappa[c] + h[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	""	"Transport, Inner Membrane"
"23DAPPAtex"	" 2,3-diaminopropionate transport via diffusion"	"23dappa[e] <==> 23dappa[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"23PDE2pp"	" 2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)"	"[p] : 23cump + h2o --> 3ump + h"	"Irreversible"	"C_p"	0	1000	0	"(b4213)"	"Nucleotide Salvage Pathway"
"23PDE4pp"	" 2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)"	"[p] : 23ccmp + h2o --> 3cmp + h"	"Irreversible"	"C_p"	0	1000	0	"(b4213)"	"Nucleotide Salvage Pathway"
"23PDE7pp"	" 2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)"	"[p] : 23camp + h2o --> 3amp + h"	"Irreversible"	"C_p"	0	1000	0	"(b4213)"	"Nucleotide Salvage Pathway"
"23PDE9pp"	" 2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)"	"[p] : 23cgmp + h2o --> 3gmp + h"	"Irreversible"	"C_p"	0	1000	0	"(b4213)"	"Nucleotide Salvage Pathway"
"26DAHtex"	"meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)"	"26dap_DASH_M[e] <==> 26dap_DASH_M[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b1377) or (b2215) or (b0929) or (b0241)"	"Transport, Outer Membrane Porin"
"2AGPA120tipp"	" 2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)"	"2ddecg3p[p] --> 2ddecg3p[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPA140tipp"	" 2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)"	"2tdecg3p[p] --> 2tdecg3p[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPA141tipp"	" 2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)"	"2tdec7eg3p[p] --> 2tdec7eg3p[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPA160tipp"	" 2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)"	"2hdecg3p[p] --> 2hdecg3p[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPA161tipp"	" 2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)"	"2hdec9eg3p[p] --> 2hdec9eg3p[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPA180tipp"	" 2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)"	"2odecg3p[p] --> 2odecg3p[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPA181tipp"	" 2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)"	"2odec11eg3p[p] --> 2odec11eg3p[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPE120tipp"	" 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)"	"2agpe120[p] --> 2agpe120[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPE140tipp"	" 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)"	"2agpe140[p] --> 2agpe140[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPE141tipp"	" 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)"	"2agpe141[p] --> 2agpe141[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPE160tipp"	" 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)"	"2agpe160[p] --> 2agpe160[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPE161tipp"	" 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)"	"2agpe161[p] --> 2agpe161[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPE180tipp"	" 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)"	"2agpe180[p] --> 2agpe180[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPE181tipp"	" 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm)"	"2agpe181[p] --> 2agpe181[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPEAT120"	" 2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0)"	"[c] : 2agpe120 + atp + ddca --> amp + pe120 + ppi"	"Irreversible"	"C_c"	0	1000	0	"(b2836)"	"Glycerophospholipid Metabolism"
"2AGPEAT140"	" 2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)"	"[c] : 2agpe140 + atp + ttdca --> amp + pe140 + ppi"	"Irreversible"	"C_c"	0	1000	0	"(b2836)"	"Glycerophospholipid Metabolism"
"2AGPEAT141"	" 2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)"	"[c] : 2agpe141 + atp + ttdcea --> amp + pe141 + ppi"	"Irreversible"	"C_c"	0	1000	0	"(b2836)"	"Glycerophospholipid Metabolism"
"2AGPEAT160"	" 2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)"	"[c] : 2agpe160 + atp + hdca --> amp + pe160 + ppi"	"Irreversible"	"C_c"	0	1000	0	"(b2836)"	"Glycerophospholipid Metabolism"
"2AGPEAT161"	" 2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)"	"[c] : 2agpe161 + atp + hdcea --> amp + pe161 + ppi"	"Irreversible"	"C_c"	0	1000	0	"(b2836)"	"Glycerophospholipid Metabolism"
"2AGPEAT180"	" 2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)"	"[c] : 2agpe180 + atp + ocdca --> amp + pe180 + ppi"	"Irreversible"	"C_c"	0	1000	0	"(b2836)"	"Glycerophospholipid Metabolism"
"2AGPEAT181"	" 2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)"	"[c] : 2agpe181 + atp + ocdcea --> amp + pe181 + ppi"	"Irreversible"	"C_c"	0	1000	0	"(b2836)"	"Glycerophospholipid Metabolism"
"2AGPG120tipp"	" 2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm)"	"2agpg120[p] --> 2agpg120[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPG140tipp"	" 2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm)"	"2agpg140[p] --> 2agpg140[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPG141tipp"	" 2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm)"	"2agpg141[p] --> 2agpg141[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPG160tipp"	" 2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)"	"2agpg160[p] --> 2agpg160[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPG161tipp"	" 2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm)"	"2agpg161[p] --> 2agpg161[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPG180tipp"	" 2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)"	"2agpg180[p] --> 2agpg180[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPG181tipp"	" 2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm)"	"2agpg181[p] --> 2agpg181[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2835)"	"Transport, Inner Membrane"
"2AGPGAT120"	" 2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)"	"[c] : 2agpg120 + atp + ddca --> amp + pg120 + ppi"	"Irreversible"	"C_c"	0	1000	0	"(b2836)"	"Glycerophospholipid Metabolism"
"2AGPGAT140"	" 2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0)"	"[c] : 2agpg140 + atp + ttdca --> amp + pg140 + ppi"	"Irreversible"	"C_c"	0	1000	0	"(b2836)"	"Glycerophospholipid Metabolism"
"2AGPGAT141"	" 2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)"	"[c] : 2agpg141 + atp + ttdcea --> amp + pg141 + ppi"	"Irreversible"	"C_c"	0	1000	0	"(b2836)"	"Glycerophospholipid Metabolism"
"2AGPGAT160"	" 2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)"	"[c] : 2agpg160 + atp + hdca --> amp + pg160 + ppi"	"Irreversible"	"C_c"	0	1000	0	"(b2836)"	"Glycerophospholipid Metabolism"
"2AGPGAT161"	" 2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1)"	"[c] : 2agpg161 + atp + hdcea --> amp + pg161 + ppi"	"Irreversible"	"C_c"	0	1000	0	"(b2836)"	"Glycerophospholipid Metabolism"
"2AGPGAT180"	" 2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)"	"[c] : 2agpg180 + atp + ocdca --> amp + pg180 + ppi"	"Irreversible"	"C_c"	0	1000	0	"(b2836)"	"Glycerophospholipid Metabolism"
"2AGPGAT181"	" 2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)"	"[c] : 2agpg181 + atp + ocdcea --> amp + pg181 + ppi"	"Irreversible"	"C_c"	0	1000	0	"(b2836)"	"Glycerophospholipid Metabolism"
"2DGLCNRx"	" 2-dehydro-D-gluconate reductase (NADH)"	"[c] : 2dhglcn + h + nadh --> glcn + nad"	"Irreversible"	"C_c"	0	1000	0	"(b3553)"	"Alternate Carbon Metabolism"
"2DGLCNRy"	" 2-dehydro-D-gluconate reductase (NADPH)"	"[c] : 2dhglcn + h + nadph --> glcn + nadp"	"Irreversible"	"C_c"	0	1000	0	"(b3553)"	"Alternate Carbon Metabolism"
"2DGULRx"	" 2-dehydro-L-gulonate reductase (NADH)"	"[c] : 2dhguln + h + nadh --> idon_DASH_L + nad"	"Irreversible"	"C_c"	0	1000	0	"(b3553)"	"Alternate Carbon Metabolism"
"2DGULRy"	" 2-dehydro-L-gulonate reductase (NADPH)"	"[c] : 2dhguln + h + nadph --> idon_DASH_L + nadp"	"Irreversible"	"C_c"	0	1000	0	"(b3553)"	"Alternate Carbon Metabolism"
"2MAHMP"	" 2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase"	"[c] : 2mahmp + h2o --> 4ampm + h + pi"	"Irreversible"	"C_c"	0	1000	0	"(b0446) or (b1134)"	"Cofactor and Prosthetic Group Biosynthesis"
"34dhpactex"	"dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)"	"34dhpac[e] <==> 34dhpac[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"3AMPtex"	" 3AMP transport via diffusion (extracellular to periplasm)"	"3amp[e] <==> 3amp[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"3CMPtex"	" 3CMP transport via diffusion (extracellular to periplasm)"	"3cmp[e] <==> 3cmp[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"3GMPtex"	" 3GMP transport via diffusion (extracellular to periplasm)"	"3gmp[e] <==> 3gmp[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b0241) or (b1377) or (b0929) or (b2215)"	"Transport, Outer Membrane Porin"
"3HAD100"	" 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)"	"[c] : 3hdecACP --> h2o + tdec2eACP"	"Irreversible"	"C_c"	0	1000	0	"(b0954) or (b0180)"	"Cell Envelope Biosynthesis"
"3HAD120"	" 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)"	"[c] : 3hddecACP --> h2o + tddec2eACP"	"Irreversible"	"C_c"	0	1000	0	"(b0954) or (b0180)"	"Cell Envelope Biosynthesis"
"3HAD121"	" 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)"	"[c] : 3hcddec5eACP --> h2o + t3c5ddeceACP"	"Irreversible"	"C_c"	0	1000	0	"(b0180) or (b0954)"	"Cell Envelope Biosynthesis"
"3HAD140"	" 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)"	"[c] : 3hmrsACP --> h2o + tmrs2eACP"	"Irreversible"	"C_c"	0	1000	0	"(b0954) or (b0180)"	"Cell Envelope Biosynthesis"
"3HAD141"	" 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)"	"[c] : 3hcmrs7eACP --> h2o + t3c7mrseACP"	"Irreversible"	"C_c"	0	1000	0	"(b0954) or (b0180)"	"Cell Envelope Biosynthesis"
"3HAD160"	" 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)"	"[c] : 3hpalmACP --> h2o + tpalm2eACP"	"Irreversible"	"C_c"	0	1000	0	"(b0954) or (b0180)"	"Cell Envelope Biosynthesis"
"3HAD161"	" 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)"	"[c] : 3hcpalm9eACP --> h2o + t3c9palmeACP"	"Irreversible"	"C_c"	0	1000	0	"(b0180) or (b0954)"	"Cell Envelope Biosynthesis"
"3HAD180"	" 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)"	"[c] : 3hoctaACP --> h2o + toctd2eACP"	"Irreversible"	"C_c"	0	1000	0	"(b0954) or (b0180)"	"Cell Envelope Biosynthesis"
"3HAD181"	" 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)"	"[c] : 3hcvac11eACP --> h2o + t3c11vaceACP"	"Irreversible"	"C_c"	0	1000	0	"(b0954) or (b0180)"	"Cell Envelope Biosynthesis"
"3HAD40"	" 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)"	"[c] : 3haACP --> but2eACP + h2o"	"Irreversible"	"C_c"	0	1000	0	"(b0954) or (b0180)"	"Cell Envelope Biosynthesis"
"3HAD60"	" 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)"	"[c] : 3hhexACP --> h2o + thex2eACP"	"Irreversible"	"C_c"	0	1000	0	"(b0954) or (b0180)"	"Cell Envelope Biosynthesis"
"3HAD80"	" 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)"	"[c] : 3hoctACP --> h2o + toct2eACP"	"Irreversible"	"C_c"	0	1000	0	"(b0954) or (b0180)"	"Cell Envelope Biosynthesis"
"3HCINNMH"	" 3-hydroxycinnamate hydroxylase"	"[c] : 3hcinnm + h + nadh + o2 --> dhcinnm + h2o + nad"	"Irreversible"	"C_c"	0	1000	0	"(b0347)"	"Alternate Carbon Metabolism"
"3HPPPNH"	" 3-(3-hydroxy-phenyl)propionate hydroxylase"	"[c] : 3hpppn + h + nadh + o2 --> dhpppn + h2o + nad"	"Irreversible"	"C_c"	0	1000	0	"(b0347)"	"Alternate Carbon Metabolism"
"3KGK"	" 3-keto-L-gulonate kinase"	"[c] : 3dhguln + atp --> 3dhgulnp + adp + h"	"Irreversible"	"C_c"	0	1000	0	"(b3580)"	"Alternate Carbon Metabolism"
"3NTD2pp"	" 3'-nucleotidase (UMP) (periplasm)"	"[p] : 3ump + h2o --> pi + uri"	"Irreversible"	"C_p"	0	1000	0	"(b4213)"	"Nucleotide Salvage Pathway"
"3NTD4pp"	" 3'-nucleotidase (CMP) (periplasm)"	"[p] : 3cmp + h2o --> cytd + pi"	"Irreversible"	"C_p"	0	1000	0	"(b4213)"	"Nucleotide Salvage Pathway"
"3NTD7pp"	" 3'-nucleotidase (AMP) (periplasm)"	"[p] : 3amp + h2o --> adn + pi"	"Irreversible"	"C_p"	0	1000	0	"(b4213)"	"Nucleotide Salvage Pathway"
"3NTD9pp"	" 3'-nucleotidase (GMP) (periplasm)"	"[p] : 3gmp + h2o --> gsn + pi"	"Irreversible"	"C_p"	0	1000	0	"(b4213)"	"Nucleotide Salvage Pathway"
"3OAR100"	" 3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)"	"[c] : 3odecACP + h + nadph <==> 3hdecACP + nadp"	"Reversible"	"C_c"	-1000	1000	0	"(b1093)"	"Cell Envelope Biosynthesis"
"3OAR120"	" 3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)"	"[c] : 3oddecACP + h + nadph <==> 3hddecACP + nadp"	"Reversible"	"C_c"	-1000	1000	0	"(b1093)"	"Cell Envelope Biosynthesis"
"3OAR121"	" 3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1)"	"[c] : 3ocddec5eACP + h + nadph --> 3hcddec5eACP + nadp"	"Irreversible"	"C_c"	0	1000	0	"(b1093)"	"Cell Envelope Biosynthesis"
"3OAR140"	" 3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)"	"[c] : 3omrsACP + h + nadph <==> 3hmrsACP + nadp"	"Reversible"	"C_c"	-1000	1000	0	"(b1093)"	"Cell Envelope Biosynthesis"
"3OAR141"	" 3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)"	"[c] : 3ocmrs7eACP + h + nadph --> 3hcmrs7eACP + nadp"	"Irreversible"	"C_c"	0	1000	0	"(b1093)"	"Cell Envelope Biosynthesis"
"3OAR160"	" 3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)"	"[c] : 3opalmACP + h + nadph <==> 3hpalmACP + nadp"	"Reversible"	"C_c"	-1000	1000	0	"(b1093)"	"Cell Envelope Biosynthesis"
"3OAR161"	" 3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)"	"[c] : 3ocpalm9eACP + h + nadph --> 3hcpalm9eACP + nadp"	"Irreversible"	"C_c"	0	1000	0	"(b1093)"	"Cell Envelope Biosynthesis"
"3OAR180"	" 3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)"	"[c] : 3ooctdACP + h + nadph <==> 3hoctaACP + nadp"	"Reversible"	"C_c"	-1000	1000	0	"(b1093)"	"Cell Envelope Biosynthesis"
"3OAR181"	" 3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1)"	"[c] : 3ocvac11eACP + h + nadph --> 3hcvac11eACP + nadp"	"Irreversible"	"C_c"	0	1000	0	"(b1093)"	"Cell Envelope Biosynthesis"
"3OAR40"	" 3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)"	"[c] : actACP + h + nadph <==> 3haACP + nadp"	"Reversible"	"C_c"	-1000	1000	0	"(b1093)"	"Cell Envelope Biosynthesis"
"3OAR60"	" 3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)"	"[c] : 3ohexACP + h + nadph <==> 3hhexACP + nadp"	"Reversible"	"C_c"	-1000	1000	0	"(b1093)"	"Cell Envelope Biosynthesis"
"3OAR80"	" 3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)"	"[c] : 3ooctACP + h + nadph <==> 3hoctACP + nadp"	"Reversible"	"C_c"	-1000	1000	0	"(b1093)"	"Cell Envelope Biosynthesis"
"3OAS100"	" 3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)"	"[c] : h + malACP + ocACP --> 3odecACP + ACP + co2"	"Irreversible"	"C_c"	0	1000	0	"(b2323) or (b1095)"	"Cell Envelope Biosynthesis"
"3OAS120"	" 3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)"	"[c] : dcaACP + h + malACP --> 3oddecACP + ACP + co2"	"Irreversible"	"C_c"	0	1000	0	"(b2323) or (b1095)"	"Cell Envelope Biosynthesis"
"3OAS121"	" 3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1)"	"[c] : cdec3eACP + h + malACP --> 3ocddec5eACP + ACP + co2"	"Irreversible"	"C_c"	0	1000	0	"(b2323)"	"Cell Envelope Biosynthesis"
"3OAS140"	" 3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)"	"[c] : ddcaACP + h + malACP --> 3omrsACP + ACP + co2"	"Irreversible"	"C_c"	0	1000	0	"(b2323) or (b1095)"	"Cell Envelope Biosynthesis"
"3OAS141"	" 3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1)"	"[c] : cddec5eACP + h + malACP --> 3ocmrs7eACP + ACP + co2"	"Irreversible"	"C_c"	0	1000	0	"(b2323)"	"Cell Envelope Biosynthesis"
"3OAS160"	" 3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)"	"[c] : h + malACP + myrsACP --> 3opalmACP + ACP + co2"	"Irreversible"	"C_c"	0	1000	0	"(b2323) or (b1095)"	"Cell Envelope Biosynthesis"
"3OAS161"	" 3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1)"	"[c] : h + malACP + tdeACP --> 3ocpalm9eACP + ACP + co2"	"Irreversible"	"C_c"	0	1000	0	"(b2323)"	"Cell Envelope Biosynthesis"
"3OAS180"	" 3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)"	"[c] : h + malACP + palmACP --> 3ooctdACP + ACP + co2"	"Irreversible"	"C_c"	0	1000	0	"(b1095) or (b2323)"	"Cell Envelope Biosynthesis"
"3OAS181"	" 3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1)"	"[c] : h + hdeACP + malACP --> 3ocvac11eACP + ACP + co2"	"Irreversible"	"C_c"	0	1000	0	"(b1095)"	"Cell Envelope Biosynthesis"
"3OAS60"	" 3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)"	"[c] : butACP + h + malACP --> 3ohexACP + ACP + co2"	"Irreversible"	"C_c"	0	1000	0	"(b1095) or (b2323)"	"Cell Envelope Biosynthesis"
